  Element 80: Hg      Atomic mass:  200.5900

  Edge          keV         A
    K        83.1023    0.1492
    L-I      14.8393    0.8355
    L-II     14.2087    0.8726
    L-III    12.2839    1.0093
    M1        3.5616    3.4811
    M2        3.2785    3.7817
    M3        2.8471    4.3548
    M4        2.3849    5.1987
    M5        2.2949    5.4026

Scattering factors as a function of energy: 

   3306.000      -13.46123       27.67369    
   3311.000      -13.31700       27.60939    
   3316.000      -13.18743       27.54538    
   3321.000      -13.06903       27.48165    
   3326.000      -12.95950       27.41821    
   3331.000      -12.85721       27.35505    
   3336.000      -12.76098       27.29217    
   3341.000      -12.66992       27.22956    
   3346.000      -12.58337       27.16724    
   3351.000      -12.50076       27.10518    
   3356.000      -12.42169       27.04340    
   3361.000      -12.34580       26.98189    
   3366.000      -12.27280       26.92065    
   3371.000      -12.20246       26.85968    
   3376.000      -12.13459       26.79897    
   3400.000      -11.83847       26.51120    
   3464.000      -11.24125       25.77217    
   3469.000      -11.20569       25.71610    
   3474.000      -11.17191       25.66027    
   3479.000      -11.14000       25.60468    
   3484.000      -11.11009       25.54931    
   3489.000      -11.08230       25.49418    
   3494.000      -11.05683       25.43927    
   3499.000      -11.03390       25.38460    
   3500.000      -11.02965       25.37369    
   3504.000      -11.01381       25.33015    
   3509.000      -10.99691       25.27592    
   3514.000      -10.98376       25.22193    
   3519.000      -10.97502       25.16815    
   3524.000      -10.97161       25.11460    
   3529.000      -10.97488       25.06126    
   3534.000      -10.98687       25.00815    
   3539.000      -11.01085       24.95525    
   3544.000      -11.05258       24.90257    
   3549.000      -11.12373       24.85011    
   3554.000      -11.25427       24.79786    
   3559.000      -11.58044       24.74582    
   3564.000      -11.56596       25.77780    
   3569.000      -11.13518       25.72557    
   3574.000      -10.91545       25.67355    
   3579.000      -10.75748       25.62175    
   3584.000      -10.62976       25.57015    
   3589.000      -10.52016       25.51876    
   3594.000      -10.42271       25.46758    
   3599.000      -10.33403       25.41661    
   3600.000      -10.31715       25.40644    
   3604.000      -10.25202       25.36584    
   3609.000      -10.17526       25.31528    
   3614.000      -10.10279       25.26492    
   3619.000      -10.03388       25.21476    
   3624.000      -9.967999       25.16480    
   3629.000      -9.904738       25.11505    
   3634.000      -9.843764       25.06549    
   3639.000      -9.784821       25.01613    
   3644.000      -9.727689       24.96696    
   3649.000      -9.672196       24.91800    
   3654.000      -9.618192       24.86922    
   3659.000      -9.565554       24.82064    
   3700.000      -9.174394       24.42949    
   3800.000      -8.387491       23.52104    
   3900.000      -7.780957       22.67934    
   4000.000      -7.279778       21.89911    
   4100.000      -6.856180       21.17586    
   4200.000      -6.492429       20.50582    
   4300.000      -5.917031       19.86287    
   4400.000      -5.608676       19.22111    
   4500.000      -5.338575       18.61180    
   4600.000      -5.092822       18.03260    
   4700.000      -4.872039       17.47886    
   4800.000      -4.684630       16.95026    
   4900.000      -4.522783       16.44574    
   5000.000      -4.380927       15.96402    
   5100.000      -4.256869       15.50369    
   5200.000      -4.148718       15.06347    
   5300.000      -4.054834       14.64215    
   5400.000      -3.973785       14.23864    
   5500.000      -3.904318       13.85191    
   5600.000      -3.845333       13.48101    
   5700.000      -3.810203       13.12513    
   5800.000      -3.769764       12.78471    
   5900.000      -3.737105       12.45769    
   6000.000      -3.711549       12.14335    
   6100.000      -3.692497       11.84102    
   6200.000      -3.679414       11.55008    
   6300.000      -3.671822       11.26995    
   6400.000      -3.669294       11.00007    
   6500.000      -3.671449       10.73994    
   6600.000      -3.691248       10.48956    
   6700.000      -3.702109       10.24866    
   6800.000      -3.733766       10.01634    
   6900.000      -3.751586       9.792267    
   7000.000      -3.772622       9.575825    
   7100.000      -3.796685       9.366666    
   7200.000      -3.844943       9.165119    
   7300.000      -3.874554       8.970326    
   7400.000      -3.906704       8.781874    
   7500.000      -3.941278       8.599480    
   7600.000      -3.978177       8.422881    
   7700.000      -4.017318       8.251826    
   7800.000      -4.058629       8.086079    
   7900.000      -4.102053       7.925416    
   8000.000      -4.147546       7.769625    
   8100.000      -4.195076       7.618505    
   8200.000      -4.244621       7.471868    
   8300.000      -4.296175       7.329530    
   8400.000      -4.349743       7.191323    
   8500.000      -4.405342       7.057082    
   8600.000      -4.463005       6.926652    
   8700.000      -4.522777       6.799889    
   8800.000      -4.584726       6.676650    
   8900.000      -4.648936       6.556805    
   9000.000      -4.713477       6.442005    
   9100.000      -4.780076       6.330348    
   9200.000      -4.848815       6.221716    
   9300.000      -4.919792       6.115997    
   9400.000      -4.993120       6.013086    
   9500.000      -5.068928       5.912878    
   9600.000      -5.147365       5.815277    
   9700.000      -5.228599       5.720192    
   9800.000      -5.312825       5.627532    
   9900.000      -5.400265       5.537214    
   10000.00      -5.491528       5.449162    
   10100.00      -5.586210       5.363300    
   10200.00      -5.684974       5.279549    
   10300.00      -5.788202       5.197836    
   10400.00      -5.897391       5.118115    
   10500.00      -6.011024       5.040311    
   10600.00      -6.130713       4.964354    
   10700.00      -6.257178       4.890182    
   10800.00      -6.391848       4.817744    
   10900.00      -6.534707       4.746982    
   11000.00      -6.687580       4.677839    
   11100.00      -6.852080       4.610267    
   11200.00      -7.030251       4.544215    
   11300.00      -7.224740       4.479638    
   11400.00      -7.439041       4.416489    
   11500.00      -7.677930       4.354726    
   11600.00      -7.948151       4.294306    
   11700.00      -8.259688       4.235191    
   11800.00      -8.628258       4.177341    
   11900.00      -9.080698       4.120719    
   12000.00      -9.668805       4.065290    
   12100.00      -10.51439       4.011019    
   12186.00      -11.74534       3.965247    
   12191.00      -11.84798       3.962611    
   12196.00      -11.95635       3.959978    
   12200.00      -12.04762       3.957873    
   12201.00      -12.07113       3.957347    
   12206.00      -12.19311       3.954719    
   12211.00      -12.32327       3.952094    
   12216.00      -12.46273       3.949472    
   12221.00      -12.61298       3.946852    
   12226.00      -12.77580       3.944236    
   12231.00      -12.95346       3.941621    
   12236.00      -13.14892       3.939010    
   12241.00      -13.36613       3.936401    
   12246.00      -13.61050       3.933795    
   12251.00      -13.88975       3.931191    
   12256.00      -14.21538       3.928591    
   12261.00      -14.60599       3.925993    
   12266.00      -15.09379       3.923398    
   12271.00      -15.74328       3.920805    
   12276.00      -16.71696       3.918215    
   12281.00      -18.71031       3.915627    
   12286.00      -19.36986       10.19152    
   12291.00      -16.92830       10.18432    
   12296.00      -15.85758       10.17712    
   12300.00      -15.28287       10.17137    
   12301.00      -15.16162       10.16993    
   12306.00      -14.64480       10.16275    
   12311.00      -14.23338       10.15558    
   12316.00      -13.89150       10.14841    
   12321.00      -13.59896       10.14126    
   12326.00      -13.34329       10.13411    
   12331.00      -13.11623       10.12697    
   12336.00      -12.91212       10.11983    
   12341.00      -12.72973       10.11271    
   12346.00      -12.55971       10.10560    
   12351.00      -12.40279       10.09849    
   12356.00      -12.25711       10.09140    
   12361.00      -12.12118       10.08431    
   12366.00      -11.99378       10.07722    
   12371.00      -11.87392       10.07015    
   12376.00      -11.76075       10.06308    
   12381.00      -11.65360       10.05603    
   12400.00      -11.29147       10.02927    
   12500.00      -10.03956       9.890304    
   12600.00      -9.288731       9.754332    
   12700.00      -8.763557       9.621273    
   12800.00      -8.371441       9.491055    
   12900.00      -8.066598       9.363585    
   13000.00      -7.827031       9.238782    
   13100.00      -7.638956       9.116570    
   13200.00      -7.494076       8.996879    
   13300.00      -7.387465       8.879635    
   13400.00      -7.316681       8.764771    
   13500.00      -7.281461       8.652223    
   13600.00      -7.283899       8.541924    
   13700.00      -7.329288       8.433818    
   13800.00      -7.428218       8.327841    
   13900.00      -7.601961       8.223939    
   14000.00      -7.898947       8.122055    
   14100.00      -8.468826       8.022137    
   14111.00      -8.567195       8.011264    
   14116.00      -8.616000       8.006329    
   14121.00      -8.667751       8.001399    
   14126.00      -8.722793       7.996473    
   14131.00      -8.781520       7.991554    
   14136.00      -8.844443       7.986638    
   14141.00      -8.912146       7.981727    
   14146.00      -8.985356       7.976820    
   14151.00      -9.064990       7.971919    
   14156.00      -9.152205       7.967022    
   14161.00      -9.248515       7.962130    
   14166.00      -9.355929       7.957242    
   14171.00      -9.477192       7.952361    
   14176.00      -9.616302       7.947483    
   14181.00      -9.779172       7.942609    
   14186.00      -9.975306       7.937740    
   14191.00      -10.22138       7.932876    
   14196.00      -10.55096       7.928017    
   14200.00      -10.92778       7.924133    
   14201.00      -11.04970       7.923162    
   14206.00      -12.09869       7.918312    
   14211.00      -12.26960       11.07771    
   14216.00      -11.10141       11.07109    
   14221.00      -10.57141       11.06448    
   14226.00      -10.22368       11.05788    
   14231.00      -9.964054       11.05128    
   14236.00      -9.756578       11.04469    
   14241.00      -9.583635       11.03810    
   14246.00      -9.435270       11.03152    
   14251.00      -9.305304       11.02495    
   14256.00      -9.189656       11.01839    
   14261.00      -9.085422       11.01183    
   14266.00      -8.990548       11.00527    
   14271.00      -8.903481       10.99873    
   14276.00      -8.823026       10.99218    
   14281.00      -8.748247       10.98565    
   14286.00      -8.678395       10.97912    
   14291.00      -8.612863       10.97260    
   14296.00      -8.551160       10.96608    
   14300.00      -8.504250       10.96087    
   14301.00      -8.492848       10.95957    
   14306.00      -8.437589       10.95307    
   14400.00      -7.733453       10.83193    
   14500.00      -7.323398       10.70539    
   14600.00      -7.095176       10.58119    
   14700.00      -7.040454       10.45928    
   14742.00      -7.100241       10.40875    
   14747.00      -7.112992       10.40276    
   14752.00      -7.127346       10.39677    
   14757.00      -7.143477       10.39079    
   14762.00      -7.161597       10.38482    
   14767.00      -7.181955       10.37885    
   14772.00      -7.204858       10.37289    
   14777.00      -7.230683       10.36693    
   14782.00      -7.259898       10.36098    
   14787.00      -7.293116       10.35503    
   14792.00      -7.331117       10.34909    
   14797.00      -7.374953       10.34315    
   14800.00      -7.404637       10.33960    
   14802.00      -7.426072       10.33722    
   14807.00      -7.486553       10.33130    
