  Element 53: I       Atomic mass:  126.9045

  Edge          keV         A
    K        33.1694    0.3738
    L-I       5.1881    2.3898
    L-II      4.8521    2.5553
    L-III     4.5571    2.7207
    M1        1.0721   11.5646

Scattering factors as a function of energy: 

   6500.000      -1.703465       9.661774    
   6600.000      -1.539826       9.430550    
   6700.000      -1.391325       9.207546    
   6800.000      -1.257573       8.992477    
   6900.000      -1.134662       8.784969    
   7000.000      -1.022548       8.584594    
   7100.000     -0.9201646       8.391023    
   7200.000     -0.8265788       8.203949    
   7300.000     -0.7409713       8.023080    
   7400.000     -0.6626204       7.848143    
   7500.000     -0.5908855       7.678877    
   7600.000     -0.5251972       7.515037    
   7700.000     -0.4650475       7.356390    
   7800.000     -0.4099817       7.202717    
   7900.000     -0.3595927       7.053812    
   8000.000     -0.3135145       6.909475    
   8100.000     -0.2714184       6.769520    
   8200.000     -0.2330105       6.633771    
   8300.000     -0.1980277       6.502057    
   8400.000     -0.1662392       6.374221    
   8500.000     -0.1374462       6.250108    
   8600.000     -0.1114912       6.129575    
   8700.000     -8.8277943E-02   6.012486    
   8800.000     -6.7833453E-02   5.898706    
   8900.000     -5.0548080E-02   5.788115    
   9000.000     -3.2728668E-02   5.681637    
   9100.000     -1.6771734E-02   5.578114    
   9200.000     -2.6619299E-03   5.477451    
   9300.000      1.0018776E-02   5.379540    
   9400.000      2.1254888E-02   5.284280    
   9500.000      3.1141499E-02   5.191572    
   9600.000      3.9768968E-02   5.101325    
   9700.000      4.7221374E-02   5.013452    
   9800.000      5.2910678E-02   4.927903    
   9900.000      5.8184061E-02   4.844572    
   10000.00      6.2504649E-02   4.763377    
   10100.00      6.5935023E-02   4.684247    
   10200.00      6.8533413E-02   4.607110    
   10300.00      7.0354037E-02   4.531898    
   10400.00      7.0721656E-02   4.458558    
   10500.00      7.1094655E-02   4.387047    
   10600.00      7.0833459E-02   4.317279    
   10700.00      6.9979027E-02   4.249197    
   10800.00      6.8569586E-02   4.182746    
   10900.00      6.6640854E-02   4.117874    
   11000.00      6.4226136E-02   4.054529    
   11100.00      6.1356638E-02   3.992664    
   11200.00      5.8061536E-02   3.932232    
   11300.00      5.4368056E-02   3.873188    
   11400.00      5.0301801E-02   3.815491    
   11500.00      4.5886602E-02   3.759097    
   11600.00      4.1144777E-02   3.703967    
   11700.00      3.5881240E-02   3.650067    
   11800.00      3.0546786E-02   3.597357    
   11900.00      2.4658252E-02   3.545803    
   12000.00      1.8805318E-02   3.495371    
   12100.00      1.2719214E-02   3.446027    
   12200.00      6.4151874E-03   3.397740    
   12300.00     -9.2572431E-05   3.350477    
   12400.00     -6.7904983E-03   3.304212    
   12500.00     -1.3666088E-02   3.258914    
   12600.00     -2.0707410E-02   3.214558    
   12700.00     -2.7903240E-02   3.171116    
   12800.00     -3.5243236E-02   3.128563    
   12900.00     -4.2717397E-02   3.086875    
   13000.00     -5.0316609E-02   3.046028    
   13100.00     -5.8032084E-02   3.006000    
   13200.00     -6.5855555E-02   2.966768    
   13300.00     -7.3779479E-02   2.928310    
   13400.00     -8.1796452E-02   2.890607    
   13500.00     -8.9899831E-02   2.853639    
   13600.00     -9.8083131E-02   2.817385    
   13700.00     -0.1063403       2.781829    
   13800.00     -0.1146657       2.746951    
   13900.00     -0.1230540       2.712734    
   14000.00     -0.1315003       2.679162    
   14100.00     -0.1399999       2.646218    
   14200.00     -0.1485482       2.613886    
   14300.00     -0.1571413       2.582151    
   14400.00     -0.1657751       2.550998    
   14500.00     -0.1744462       2.520413    
   14600.00     -0.1831510       2.490382    
   14700.00     -0.1918863       2.460891    
   14800.00     -0.2006493       2.431928    
   14900.00     -0.2094368       2.403479    
   15000.00     -0.2182466       2.375533    
   15100.00     -0.2270761       2.348077    
   15200.00     -0.2359228       2.321100    
   15300.00     -0.2447849       2.294591    
   15400.00     -0.2536601       2.268538    
   15500.00     -0.2625467       2.242932    
   15600.00     -0.2714431       2.217762    
   15700.00     -0.2803474       2.193017    
   15800.00     -0.2892584       2.168689    
   15900.00     -0.2981745       2.144768    
   16000.00     -0.3070947       2.121245    
   16100.00     -0.3160176       2.098110    
   16200.00     -0.3249424       2.075356    
   16300.00     -0.3338677       2.052973    
   16400.00     -0.3427936       2.030954    
   16500.00     -0.3536679       2.009305    
   16600.00     -0.3625879       1.988007    
