  Element 30: Zn      Atomic mass:   65.3800

  Edge          keV         A
    K         9.6586    1.2837
    L-I       1.1936   10.3874
    L-II      1.0428   11.8896
    L-III     1.0197   12.1589

Scattering factors as a function of energy: 

   13300.00     -8.5977897E-02   2.285459    
   13400.00     -6.6119172E-02   2.257210    
   13500.00     -4.7192961E-02   2.229472    
   13600.00     -2.9147696E-02   2.202234    
   13700.00     -1.1935518E-02   2.175483    
   13800.00      4.4885175E-03   2.149209    
   13900.00      2.0165626E-02   2.123398    
   14000.00      3.5134815E-02   2.098041    
   14100.00      4.9432073E-02   2.073127    
   14200.00      6.3091047E-02   2.048646    
   14300.00      7.6143622E-02   2.024587    
   14400.00      8.8619195E-02   2.000941    
   14500.00      0.1005458       1.977698    
   14600.00      0.1119494       1.954850    
   14700.00      0.1228546       1.932387    
   14800.00      0.1332845       1.910300    
   14900.00      0.1432609       1.888582    
   15000.00      0.1528045       1.867223    
   15100.00      0.1619346       1.846217    
   15200.00      0.1706694       1.825555    
   15300.00      0.1790264       1.805230    
   15400.00      0.1870220       1.785235    
   15500.00      0.1946717       1.765561    
   15600.00      0.2019903       1.746204    
   15700.00      0.2089916       1.727155    
   15800.00      0.2156890       1.708408    
   15900.00      0.2220951       1.689958    
   16000.00      0.2282220       1.671796    
   16100.00      0.2340808       1.653919    
   16200.00      0.2396825       1.636319    
   16300.00      0.2450373       1.618991    
   16400.00      0.2501552       1.601930    
   16500.00      0.2550455       1.585129    
   16600.00      0.2597171       1.568584    
   16700.00      0.2641786       1.552290    
   16800.00      0.2684379       1.536241    
   16900.00      0.2725030       1.520432    
   17000.00      0.2763813       1.504859    
   17100.00      0.2800798       1.489518    
   17200.00      0.2836054       1.474403    
   17300.00      0.2869644       1.459510    
   17400.00      0.2901632       1.444835    
   17500.00      0.2932076       1.430373    
   17600.00      0.2961034       1.416121    
   17700.00      0.2988560       1.402074    
   17800.00      0.3014707       1.388228    
   17900.00      0.3039524       1.374581    
   18000.00      0.3063060       1.361127    
   18100.00      0.3085361       1.347863    
   18200.00      0.3106470       1.334786    
   18300.00      0.3126431       1.321893    
   18400.00      0.3145285       1.309179    
   18500.00      0.3163070       1.296642    
   18600.00      0.3179824       1.284277    
   18700.00      0.3195584       1.272083    
   18800.00      0.3210383       1.260057    
   18900.00      0.3224257       1.248194    
   19000.00      0.3237236       1.236491    
   19100.00      0.3249353       1.224948    
   19200.00      0.3260636       1.213559    
   19300.00      0.3271114       1.202323    
   19400.00      0.3238115       1.191337    
   19500.00      0.3246873       1.180520    
   19600.00      0.3254936       1.169847    
   19700.00      0.3262327       1.159316    
   19800.00      0.3269070       1.148924    
   19900.00      0.3275188       1.138670    
   20000.00      0.3280702       1.128550    
   20100.00      0.3285632       1.118562    
   20200.00      0.3290000       1.108705    
   20300.00      0.3293824       1.098975    
   20400.00      0.3297123       1.089370    
   20500.00      0.3299915       1.079889    
   20600.00      0.3302218       1.070529    
   20700.00      0.3304049       1.061288    
   20800.00      0.3305422       1.052165    
   20900.00      0.3306355       1.043156    
   21000.00      0.3306863       1.034261    
   21100.00      0.3306959       1.025477    
   21200.00      0.3306658       1.016802    
   21300.00      0.3305974       1.008236    
   21400.00      0.3304919      0.9997746    
   21500.00      0.3303505      0.9914178    
   21600.00      0.3301746      0.9831633    
   21700.00      0.3299641      0.9750096    
   21800.00      0.3294159      0.9669562    
   21900.00      0.3291445      0.9590009    
   22000.00      0.3288437      0.9511414    
   22100.00      0.3285139      0.9433764    
   22200.00      0.3281567      0.9357041    
   22300.00      0.3275281      0.9281244    
   22400.00      0.3271187      0.9206348    
   22500.00      0.3266840      0.9132338    
   22600.00      0.3262249      0.9059198    
   22700.00      0.3257423      0.8986916    
   22800.00      0.3252371      0.8915479    
   22900.00      0.3247100      0.8844872    
   23000.00      0.3241618      0.8775082    
   23100.00      0.3235932      0.8706099    
   23200.00      0.3230051      0.8637908    
   23300.00      0.3223979      0.8570499    
   23400.00      0.3217725      0.8503859    
   23500.00      0.3211295      0.8437976    
   23600.00      0.3204695      0.8372838    
   23700.00      0.3197931      0.8308436    
   23800.00      0.3191009      0.8244759    
   23900.00      0.3183935      0.8181793    
   24000.00      0.3176715      0.8119529    
   24100.00      0.3169353      0.8057958    
   24200.00      0.3161856      0.7997068    
   24300.00      0.3154227      0.7936851    
   24400.00      0.3146473      0.7877295    
   24500.00      0.3138597      0.7818391    
   24600.00      0.3130604      0.7760130    
   24700.00      0.3122499      0.7702502    
   24800.00      0.3114286      0.7645499    
   24900.00      0.3105970      0.7589111    
