  Element 31: Ga      Atomic mass:   69.7200

  Edge          keV         A
    K        10.3671    1.1959
    L-I       1.2977    9.5542
    L-II      1.1423   10.8539
    L-III     1.1154   11.1157

Scattering factors as a function of energy: 

   10430.00      -4.563839       3.844584    
   10435.00      -4.477720       3.840667    
   10440.00      -4.397598       3.836760    
   10445.00      -4.322653       3.832861    
   10450.00      -4.252260       3.828971    
   10455.00      -4.185891       3.825090    
   10460.00      -4.123104       3.821218    
   10465.00      -4.063528       3.817355    
   10500.00      -3.714567       3.790558    
   10600.00      -3.067343       3.716298    
   10700.00      -2.652269       3.645302    
   10800.00      -2.347398       3.577394    
   10900.00      -2.107723       3.512410    
   11000.00      -1.911404       3.450194    
   11100.00      -1.746119       3.390604    
   11200.00      -1.604182       3.333506    
   11300.00      -1.480459       3.278773    
   11400.00      -1.371341       3.226288    
   11500.00      -1.274183       3.175941    
   11600.00      -1.186988       3.127628    
   11700.00      -1.108208       3.081252    
   11800.00      -1.036615       3.036722    
   11900.00     -0.9712204       2.993952    
   12000.00     -0.9112132       2.952861    
   12100.00     -0.8559216       2.913374    
   12200.00     -0.8047814       2.875419    
   12300.00     -0.7573131       2.838929    
   12400.00     -0.7131080       2.803839    
   12500.00     -0.6718121       2.770091    
   12600.00     -0.6331190       2.737627    
   12700.00     -0.5967606       2.706394    
   12800.00     -0.5624999       2.676341    
   12900.00     -0.5301288       2.647420    
   13000.00     -0.4994608       2.619587    
   13100.00     -0.4703301       2.592797    
   13200.00     -0.4425876       2.567012    
   13300.00     -0.4160981       2.542190    
   13400.00     -0.3907388       2.518298    
   13500.00     -0.2629591       2.493533    
   13600.00     -0.2365060       2.463472    
   13700.00     -0.2113342       2.433945    
   13800.00     -0.1873535       2.404938    
   13900.00     -0.1644931       2.376440    
   14000.00     -0.1426874       2.348438    
   14100.00     -0.1218766       2.320921    
   14200.00     -0.1020055       2.293878    
   14300.00     -8.3022378E-02   2.267297    
   14400.00     -6.4879976E-02   2.241168    
   14500.00     -4.7533680E-02   2.215482    
   14600.00     -3.0942462E-02   2.190227    
   14700.00     -1.5068039E-02   2.165395    
   14800.00      1.2577558E-04   2.140975    
   14900.00      1.4672253E-02   2.116958    
   15000.00      2.8603101E-02   2.093337    
   15100.00      4.1947644E-02   2.070101    
   15200.00      5.4733433E-02   2.047243    
   15300.00      6.6986710E-02   2.024754    
   15400.00      7.8731716E-02   2.002627    
   15500.00      8.9991711E-02   1.980853    
   15600.00      0.1007883       1.959426    
   15700.00      0.1111419       1.938337    
   15800.00      0.1210721       1.917580    
   15900.00      0.1305971       1.897147    
   16000.00      0.1397342       1.877033    
   16100.00      0.1484999       1.857229    
   16200.00      0.1569097       1.837731    
   16300.00      0.1649782       1.818532    
   16400.00      0.1727197       1.799624    
   16500.00      0.1801474       1.781004    
   16600.00      0.1872739       1.762664    
   16700.00      0.1941113       1.744599    
   16800.00      0.2006708       1.726804    
   16900.00      0.2069636       1.709274    
   17000.00      0.2130000       1.692002    
   17100.00      0.2187899       1.674985    
   17200.00      0.2243427       1.658216    
   17300.00      0.2296673       1.641692    
   17400.00      0.2347725       1.625407    
   17500.00      0.2396665       1.609357    
   17600.00      0.2443571       1.593537    
   17700.00      0.2488518       1.577943    
   17800.00      0.2531577       1.562572    
   17900.00      0.2572820       1.547417    
   18000.00      0.2612309       1.532475    
   18100.00      0.2650110       1.517744    
   18200.00      0.2686282       1.503217    
   18300.00      0.2720882       1.488893    
   18400.00      0.2753968       1.474766    
   18500.00      0.2785591       1.460833    
   18600.00      0.2815804       1.447092    
   18700.00      0.2844656       1.433537    
   18800.00      0.2872191       1.420167    
   18900.00      0.2898459       1.406977    
   19000.00      0.2923500       1.393965    
   19100.00      0.2947358       1.381127    
   19200.00      0.2970072       1.368460    
   19300.00      0.2991680       1.355961    
   19400.00      0.3012221       1.343627    
   19500.00      0.3031730       1.331455    
   19600.00      0.3050241       1.319443    
   19700.00      0.3067788       1.307588    
   19800.00      0.3084402       1.295886    
   19900.00      0.3100115       1.284336    
   20000.00      0.3114955       1.272934    
   20100.00      0.3128952       1.261679    
   20200.00      0.3142134       1.250567    
   20300.00      0.3154525       1.239597    
   20400.00      0.3166154       1.228765    
   20500.00      0.3177043       1.218071    
   20600.00      0.3187217       1.207510    
   20700.00      0.3196698       1.197081    
   20800.00      0.3165946       1.186852    
   20900.00      0.3173937       1.176786    
   21000.00      0.3181323       1.166845    
   21100.00      0.3188125       1.157028    
   21200.00      0.3194361       1.147333    
   21300.00      0.3200049       1.137757    
   21400.00      0.3205208       1.128299    
   21500.00      0.3209854       1.118956    
   21600.00      0.3214004       1.109727    
   21700.00      0.3217674       1.100609    
   21800.00      0.3220879       1.091602    
   21900.00      0.3223633       1.082703    
   22000.00      0.3225952       1.073911    
   22100.00      0.3227850       1.065223    
   22200.00      0.3229339       1.056639    
   22300.00      0.3230432       1.048156    
   22400.00      0.3231143       1.039773    
   22500.00      0.3231483       1.031489    
   22600.00      0.3231463       1.023301    
   22700.00      0.3231097       1.015209    
   22800.00      0.3230393       1.007210    
   22900.00      0.3229364      0.9993043    
   23000.00      0.3228019      0.9914892    
   23100.00      0.3226368      0.9837637    
   23200.00      0.3224420      0.9761264    
   23300.00      0.3222186      0.9685761    
   23400.00      0.3219673      0.9611112    
   23500.00      0.3216892      0.9537306    
   23600.00      0.3213849      0.9464331    
   23700.00      0.3210554      0.9392173    
