  Element 23: V       Atomic mass:   50.9415

  Edge          keV         A
    K         5.4651    2.2687

Scattering factors as a function of energy: 

   13800.00      0.3596211      0.8220736    
   13900.00      0.3584445      0.8113608    
   14000.00      0.3572270      0.8008525    
   14100.00      0.3559713      0.7905437    
   14200.00      0.3546799      0.7804294    
   14300.00      0.3533551      0.7705044    
   14400.00      0.3519991      0.7607644    
   14500.00      0.3506140      0.7512045    
   14600.00      0.3492017      0.7418204    
   14700.00      0.3477642      0.7326079    
   14800.00      0.3463033      0.7235627    
   14900.00      0.3448206      0.7146809    
   15000.00      0.3433177      0.7059584    
   15100.00      0.3417962      0.6973915    
   15200.00      0.3402574      0.6889766    
   15300.00      0.3387029      0.6807101    
   15400.00      0.3371339      0.6725885    
   15500.00      0.3355515      0.6646084    
   15600.00      0.3339570      0.6567665    
   15700.00      0.3323516      0.6490597    
   15800.00      0.3307361      0.6414849    
   15900.00      0.3291118      0.6340392    
   16000.00      0.3274794      0.6267195    
   16100.00      0.3258399      0.6195230    
   16200.00      0.3241943      0.6124471    
   16300.00      0.3225431      0.6054891    
   16400.00      0.3208874      0.5986462    
   16500.00      0.3192277      0.5919160    
   16600.00      0.3175647      0.5852962    
   16700.00      0.3158993      0.5787841    
   16800.00      0.3142318      0.5723777    
   16900.00      0.3125630      0.5660745    
   17000.00      0.3108934      0.5598723    
   17100.00      0.3092237      0.5537691    
   17200.00      0.3074558      0.5477627    
   17300.00      0.3057878      0.5418515    
   17400.00      0.3041207      0.5360331    
   17500.00      0.3024553      0.5303055    
   17600.00      0.3007919      0.5246670    
   17700.00      0.2991308      0.5191156    
   17800.00      0.2974726      0.5136497    
   17900.00      0.2958174      0.5082673    
   18000.00      0.2941657      0.5029670    
   18100.00      0.2925178      0.4977469    
   18200.00      0.2908739      0.4926056    
   18300.00      0.2892343      0.4875415    
   18400.00      0.2875993      0.4825529    
   18500.00      0.2859691      0.4776384    
   18600.00      0.2843440      0.4727966    
   18700.00      0.2827241      0.4680260    
   18800.00      0.2811098      0.4633254    
   18900.00      0.2795011      0.4586931    
   19000.00      0.2778982      0.4541281    
   19100.00      0.2763013      0.4496289    
   19200.00      0.2747107      0.4451945    
   19300.00      0.2731264      0.4408234    
   19400.00      0.2715485      0.4365146    
   19500.00      0.2699773      0.4322667    
   19600.00      0.2684128      0.4280788    
   19700.00      0.2668551      0.4239497    
   19800.00      0.2653044      0.4198783    
   19900.00      0.2637608      0.4158635    
   20000.00      0.2622242      0.4119043    
   20100.00      0.2606949      0.4079997    
   20200.00      0.2591729      0.4041487    
   20300.00      0.2576583      0.4003503    
   20400.00      0.2561511      0.3966036    
   20500.00      0.2546515      0.3929076    
   20600.00      0.2531593      0.3892614    
   20700.00      0.2516748      0.3856642    
   20800.00      0.2501980      0.3821151    
   20900.00      0.2487288      0.3786131    
   21000.00      0.2472674      0.3751577    
   21100.00      0.2458137      0.3717477    
   21200.00      0.2443678      0.3683826    
   21300.00      0.2429298      0.3650616    
   21400.00      0.2414995      0.3617838    
   21500.00      0.2400771      0.3585485    
   21600.00      0.2386626      0.3553550    
   21700.00      0.2372559      0.3522025    
   21800.00      0.2358571      0.3490905    
   21900.00      0.2344662      0.3460182    
   22000.00      0.2330832      0.3429849    
   22100.00      0.2317080      0.3399900    
   22200.00      0.2303407      0.3370328    
   22300.00      0.2289814      0.3341128    
   22400.00      0.2276298      0.3312293    
   22500.00      0.2262861      0.3283816    
   22600.00      0.2249503      0.3255693    
   22700.00      0.2236223      0.3227917    
   22800.00      0.2223021      0.3200483    
   22900.00      0.2209896      0.3173385    
   23000.00      0.2196850      0.3146618    
