  Element 38: Sr      Atomic mass:   87.6200

  Edge          keV         A
    K        16.1046    0.7699
    L-I       2.2163    5.5942
    L-II      2.0068    6.1782
    L-III     1.9396    6.3923

Scattering factors as a function of energy: 

   5900.000      4.6328600E-02   3.126517    
   6000.000      3.1237872E-02   3.038047    
   6100.000      1.5583900E-02   2.953307    
   6200.000     -5.5579515E-04   2.872090    
   6300.000     -1.7113052E-02   2.794199    
   6400.000     -3.4027647E-02   2.719455    
   6500.000     -5.1246800E-02   2.647687    
   6600.000     -6.8723977E-02   2.578739    
   6700.000     -8.6415790E-02   2.512463    
   6800.000     -0.1052747       2.448740    
   6900.000     -0.1233033       2.387424    
   7000.000     -0.1414545       2.328393    
   7100.000     -0.1597044       2.271533    
   7200.000     -0.1780326       2.216738    
   7300.000     -0.1964216       2.163908    
   7400.000     -0.2148563       2.112949    
   7500.000     -0.2333241       2.063774    
   7600.000     -0.2518146       2.016299    
   7700.000     -0.2703196       1.970446    
   7800.000     -0.2888326       1.926141    
   7900.000     -0.3073487       1.883315    
   8000.000     -0.3258653       1.841902    
   8100.000     -0.3443815       1.801840    
   8200.000     -0.3628979       1.763071    
   8300.000     -0.3814181       1.725539    
   8400.000     -0.3999223       1.689192    
   8500.000     -0.4225060       1.654115    
   8600.000     -0.4410636       1.620128    
   8700.000     -0.4621149       1.587183    
   8800.000     -0.4808539       1.555315    
   8900.000     -0.4998965       1.524400    
   9000.000     -0.5181621       1.494584    
   9100.000     -0.5364274       1.465650    
   9200.000     -0.5546616       1.437563    
   9300.000     -0.5728830       1.410288    
   9400.000     -0.5910972       1.383796    
   9500.000     -0.6093118       1.358055    
   9600.000     -0.6275780       1.333037    
   9700.000     -0.6461361       1.308726    
   9800.000     -0.6644326       1.285088    
   9900.000     -0.6827564       1.262097    
   10000.00     -0.7011169       1.239729    
   10100.00     -0.7195230       1.217962    
   10200.00     -0.7379839       1.196774    
   10300.00     -0.7565102       1.176144    
   10400.00     -0.7751117       1.156054    
   10500.00     -0.7937996       1.136483    
   10600.00     -0.8125854       1.117413    
   10700.00     -0.8314805       1.098829    
