  Element 64: Gd      Atomic mass:  157.2500

  Edge          keV         A
   1843.000      -13.40005       25.53622    
   1848.000      -13.37199       25.44354    
   1853.000      -13.35442       25.35200    
   1858.000      -13.35073       25.26160    
   1863.000      -13.36696       25.17232    
   1868.000      -13.41529       25.08414    
   1873.000      -13.52672       24.99706    
   1878.000      -13.83686       24.91108    
   1883.000      -13.85558       26.00166    
   1888.000      -13.34146       25.91536    
   1893.000      -13.07583       25.83016    
   1898.000      -12.88069       25.74604    
   1900.000      -12.81331       25.71269    
   1903.000      -12.72009       25.66299    
   1908.000      -12.58036       25.58101    
   1913.000      -12.45480       25.50009    
   1918.000      -12.33963       25.42021    
   1923.000      -12.23245       25.34138    
   1928.000      -12.13171       25.26357    
   1933.000      -12.03627       25.18679    
   1938.000      -11.94532       25.11102    
   1943.000      -11.85825       25.03626    
   1948.000      -11.77457       24.96251    
   1953.000      -11.69389       24.88974    
   1958.000      -11.61591       24.81796    
   1963.000      -11.54036       24.74716    
   1968.000      -11.46704       24.67734    
   1973.000      -11.39576       24.60848    
   1978.000      -11.32632       24.54058    
   2000.000      -11.03995       24.25312    
   2100.000      -9.266932       22.83527    
   2200.000      -8.067221       21.60059    
   2300.000      -7.287893       20.38973    
   2400.000      -6.553362       19.28477    
   2500.000      -5.930980       18.24248    
   2600.000      -5.506133       17.27158    
   2700.000      -5.274565       16.37917    
   2800.000      -4.995455       15.55574    
   2900.000      -4.773122       14.79217    
   3000.000      -4.604299       14.08267    
   3100.000      -4.465585       13.43341    
   3200.000      -4.357546       12.82975    
   3300.000      -4.275568       12.26738    
   3400.000      -4.218933       11.74261    
   3500.000      -4.179085       11.25245    
   3600.000      -4.155788       10.79357    
   3700.000      -4.146925       10.36330    
   3800.000      -4.152894       9.959338    
   3900.000      -4.168166       9.579653    
   4000.000      -4.193388       9.222132    
   4100.000      -4.227594       8.885030    
   4200.000      -4.269965       8.566776    
   4300.000      -4.320029       8.265952    
   4400.000      -4.376868       7.981273    
   4500.000      -4.440259       7.711568    
   4600.000      -4.509894       7.455777    
   4700.000      -4.585555       7.212930    
   4800.000      -4.667118       6.982144    
   4900.000      -4.754539       6.762614    
   5000.000      -4.847859       6.553597    
   5100.000      -4.949931       6.354425    
   5200.000      -5.060665       6.164727    
   5300.000      -5.178604       5.983846    
   5400.000      -5.297624       5.811301    
   5500.000      -5.426826       5.646410    
   5600.000      -5.561400       5.488671    
   5700.000      -5.704897       5.337653    
   5800.000      -5.858343       5.192967    
   5900.000      -6.023009       5.054254    
   6000.000      -6.200491       4.921180    
   6100.000      -6.392799       4.793435    
   6200.000      -6.602510       4.670730    
   6300.000      -6.832990       4.552794    
   6400.000      -7.088728       4.439380    
   6500.000      -7.375911       4.330251    
   6600.000      -7.703385       4.225189    
   6700.000      -8.094620       4.124030    
   6800.000      -8.550743       4.026953    
   6900.000      -9.119932       3.933357    
   7000.000      -9.880404       3.843073    
   7100.000      -11.04277       3.755961    
   7145.000      -11.86692       3.717760    
   7150.000      -11.98113       3.713552    
   7155.000      -12.10168       3.709352    
   7160.000      -12.22929       3.705159    
   7165.000      -12.36488       3.700974    
   7170.000      -12.50951       3.696795    
   7175.000      -12.66448       3.692624    
   7180.000      -12.83135       3.688461    
   7185.000      -13.01217       3.684304    
   7190.000      -13.20944       3.680154    
   7195.000      -13.42647       3.676012    
   7200.000      -13.66763       3.671877    
   7205.000      -13.93902       3.667749    
   7210.000      -14.24923       3.663628    
   7215.000      -14.61121       3.659515    
   7220.000      -15.04560       3.655408    
   7225.000      -15.58876       3.651309    
   7230.000      -16.31337       3.647216    
   7235.000      -17.40386       3.643131    
   7240.000      -19.66451       3.639053    
   7245.000      -20.21270       10.60912    
   7250.000      -17.56646       10.59248    
   7255.000      -16.38587       10.57590    
   7260.000      -15.61562       10.55939    
   7265.000      -15.04289       10.54294    
   7270.000      -14.58679       10.52654    
   7275.000      -14.20792       10.51021    
   7280.000      -13.88402       10.49393    
   7285.000      -13.60130       10.47772    
   7290.000      -13.35055       10.46156    
   7295.000      -13.12541       10.44546    
   7300.000      -12.92124       10.42942    
   7305.000      -12.73460       10.41344    
   7310.000      -12.56276       10.39752    
   7315.000      -12.40361       10.38165    
   7320.000      -12.26405       10.36586    
   7325.000      -12.12574       10.35013    
   7330.000      -11.99601       10.33445    
   7335.000      -11.87394       10.31883    
   7340.000      -11.75873       10.30326    
   7400.000      -10.73854       10.12079    
   7500.000      -9.802902       9.833458    
   7600.000      -9.328610       9.565565    
   7700.000      -9.165067       9.315501    
   7800.000      -9.354633       9.081825    
   7833.000      -9.549619       9.008086    
   7838.000      -9.589045       8.997055    
   7843.000      -9.631816       8.986059    
   7848.000      -9.678300       8.975101    
   7853.000      -9.728935       8.964177    
   7858.000      -9.784244       8.953292    
   7863.000      -9.844878       8.942441    
   7868.000      -9.911626       8.931626    
   7873.000      -9.985480       8.920847    
   7878.000      -10.06770       8.910105    
   7883.000      -10.15994       8.899397    
   7888.000      -10.26441       8.888723    
   7893.000      -10.38415       8.878086    
   7898.000      -10.52350       8.867485    
   7900.000      -10.58612       8.863253    
   7903.000      -10.68907       8.856916    
   7908.000      -10.89146       8.846384    
   7913.000      -11.14943       8.835886    
   7918.000      -11.50134       8.825422    
   7923.000      -12.04763       8.814994    
   7928.000      -13.27573       8.804598    
   7933.000      -13.09524       12.18524    
   7938.000      -11.94688       12.17106    
   7943.000      -11.39102       12.15692    
   7948.000      -11.01771       12.14282    
   7953.000      -10.73479       12.12877    
   7958.000      -10.50607       12.11476    
   7963.000      -10.31359       12.10080    
   7968.000      -10.14704       12.08688    
   7973.000      -10.00004       12.07300    
   7978.000      -9.868302       12.05917    
   7983.000      -9.748855       12.04538    
   7988.000      -9.639492       12.03163    
   7993.000      -9.538590       12.01793    
   7998.000      -9.444892       12.00427    
   8000.000      -9.409204       11.99881    
   8003.000      -9.357407       11.99065    
   8008.000      -9.275343       11.97707    
   8013.000      -9.198071       11.96354    
   8018.000      -9.125031       11.95004    
   8023.000      -9.055796       11.93659    
   8028.000      -8.989994       11.92318    
   8100.000      -8.294728       11.73462    
   8200.000      -7.773439       11.48629    
   8278.000      -7.634830       11.30290    
   8283.000      -7.636971       11.29144    
   8288.000      -7.641008       11.28001    
   8293.000      -7.647123       11.26862    
   8298.000      -7.655536       11.25726    
   8300.000      -7.659601       11.25273    
   8303.000      -7.666509       11.24593    
   8308.000      -7.680362       11.23465    
   8313.000      -7.697499       11.22339    
   8318.000      -7.718428       11.21217    
   8323.000      -7.743711       11.20098    
   8328.000      -7.774306       11.18982    
   8333.000      -7.811246       11.17870    
   8338.000      -7.856073       11.16761    
   8343.000      -7.910979       11.15656    
   8348.000      -7.979244       11.14554    
   8353.000      -8.066183       11.13455    
   8358.000      -8.181087       11.12359    
   8363.000      -8.342763       11.11267    
   8368.000      -8.599504       11.10178    
   8373.000      -9.170609       11.09092    
   8378.000      -9.194186       12.82393    
   8383.000      -8.546262       12.81263    
   8388.000      -8.237179       12.80136    
   8393.000      -8.026788       12.79012    
   8398.000      -7.864470       12.77891    
   8400.000      -7.808221       12.77444    
   8403.000      -7.730738       12.76773    
   8408.000      -7.616009       12.75659    
   8413.000      -7.514854       12.74547    
   8418.000      -7.423898       12.73439    
   8423.000      -7.340897       12.72334    
   8428.000      -7.264283       12.71232    
   8433.000      -7.192931       12.70134    
