  Element 35: Br      Atomic mass:   79.9040

  Edge          keV         A
    K        13.4737    0.9202
    L-I       1.7820    6.9576
    L-II      1.5960    7.7684
    L-III     1.5499    7.9995

Scattering factors as a function of energy: 

   5900.000     -0.2006619       2.213684    
   6000.000     -0.2221407       2.149878    
   6100.000     -0.2436859       2.088804    
   6200.000     -0.2652735       2.030308    
   6300.000     -0.2868842       1.974243    
   6400.000     -0.3085019       1.920478    
   6500.000     -0.3301140       1.868885    
   6600.000     -0.3517109       1.819349    
   6700.000     -0.3732831       1.771761    
   6800.000     -0.3987429       1.726165    
   6900.000     -0.4202207       1.682342    
   7000.000     -0.4440536       1.640261    
   7100.000     -0.4654374       1.599765    
   7200.000     -0.4867855       1.560759    
   7300.000     -0.5081024       1.523169    
   7400.000     -0.5293933       1.486928    
   7500.000     -0.5506647       1.451971    
   7600.000     -0.5719243       1.418237    
   7700.000     -0.5931807       1.385669    
   7800.000     -0.6181743       1.354326    
   7900.000     -0.6394647       1.324075    
   8000.000     -0.6607776       1.294837    
   8100.000     -0.6821253       1.266566    
   8200.000     -0.7035205       1.239219    
   8300.000     -0.7249774       1.212755    
   8400.000     -0.7465103       1.187138    
   8500.000     -0.7681351       1.162331    
   8600.000     -0.7898682       1.138299    
   8700.000     -0.8117267       1.115010    
   8800.000     -0.8337296       1.092434    
   8900.000     -0.8558958       1.070542    
   9000.000     -0.8783477       1.049405    
   9100.000     -0.9009978       1.028901    
   9200.000     -0.9238694       1.009002    
   9300.000     -0.9469881      0.9896861    
   9400.000     -0.9703799      0.9709295    
   9500.000     -0.9940738      0.9527104    
   9600.000      -1.018100      0.9350085    
   9700.000      -1.042490      0.9178041    
   9800.000      -1.067280      0.9010783    
   9900.000      -1.092507      0.8848134    
   10000.00      -1.118212      0.8689921    
   10100.00      -1.144437      0.8535985    
   10200.00      -1.171232      0.8386171    
   10300.00      -1.198647      0.8240329    
   10400.00      -1.226738      0.8098320    
   10500.00      -1.255570      0.7960006    
   10600.00      -1.285208      0.7825261    
   10700.00      -1.315729      0.7693961    
   10800.00      -1.347217      0.7565987    
   10900.00      -1.379763      0.7441227    
   11000.00      -1.413474      0.7319571    
   11100.00      -1.448464      0.7200918    
   11200.00      -1.484867      0.7085168    
   11300.00      -1.522833      0.6972224    
   11400.00      -1.562533      0.6861997    
   11500.00      -1.604165      0.6754398    
   11600.00      -1.647958      0.6649343    
   11700.00      -1.694179      0.6546753    
   11800.00      -1.743142      0.6446548    
   11900.00      -1.795222      0.6348656    
   12000.00      -1.850868      0.6253004    
   12100.00      -1.910626      0.6159524    
   12200.00      -1.975168      0.6068149    
   12300.00      -2.045337      0.5978816    
   12400.00      -2.122203      0.5891465    
   12500.00      -2.207163      0.5806035    
   12600.00      -2.302074      0.5722470    
   12700.00      -2.409488      0.5640717    
   12800.00      -2.533047      0.5560720    
   12900.00      -2.678191      0.5482432    
   13000.00      -2.853576      0.5405802    
   13100.00      -3.074184      0.5330783    
   13200.00      -3.369463      0.5257331    
   13300.00      -3.810784      0.5185400    
   13376.00      -4.383583      0.5131726    
   13381.00      -4.436522      0.5128224    
   13386.00      -4.492511      0.5124726    
   13391.00      -4.551899      0.5121232    
   13396.00      -4.615113      0.5117741    
   13400.00      -4.668775      0.5114951    
   13401.00      -4.682665      0.5114253    
   13406.00      -4.755177      0.5110769    
   13411.00      -4.833415      0.5107289    
   13416.00      -4.918334      0.5103813    
   13421.00      -5.011133      0.5100340    
   13426.00      -5.113431      0.5096871    
   13431.00      -5.227321      0.5093405    
   13436.00      -5.355703      0.5089943    
   13441.00      -5.502725      0.5086484    
   13446.00      -5.674607      0.5083029    
   13451.00      -5.881319      0.5079577    
   13456.00      -6.140346      0.5076129    
   13461.00      -6.486901      0.5072684    
   13466.00      -7.010676      0.5069244    
   13471.00      -8.111352      0.5065807    
   13476.00      -8.288533       3.826232    
   13481.00      -7.062603       3.823221    
   13486.00      -6.506715       3.820216    
   13491.00      -6.142127       3.817216    
   13496.00      -5.870007       3.814221    
   13500.00      -5.692773       3.811830    
   13501.00      -5.652615       3.811232    
   13506.00      -5.471486       3.808248    
   13511.00      -5.316099       3.805269    
   13516.00      -5.180003       3.802294    
   13521.00      -5.058887       3.799325    
   13526.00      -4.949747       3.796361    
   13531.00      -4.850400       3.793402    
   13536.00      -4.759212       3.790449    
   13541.00      -4.674929       3.787500    
   13546.00      -4.596580       3.784557    
   13551.00      -4.523345       3.781619    
   13556.00      -4.454604       3.778685    
   13561.00      -4.389827       3.775757    
   13566.00      -4.328576       3.772833    
   13571.00      -4.270482       3.769915    
   13600.00      -3.982109       3.753086    
   13700.00      -3.330454       3.696321    
   13800.00      -2.917131       3.641448    
   13900.00      -2.614004       3.588391    
   14000.00      -2.375175       3.537073    
   14100.00      -2.178764       3.487425    
   14200.00      -2.012563       3.439379    
   14300.00      -1.869025       3.392871    
   14400.00      -1.743154       3.347841    
   14500.00      -1.631451       3.304231    
   14600.00      -1.531372       3.261985    
   14700.00      -1.441003       3.221053    
   14800.00      -1.358861       3.181384    
   14900.00      -1.283781       3.142931    
   15000.00      -1.214819       3.105649    
   15100.00      -1.151209       3.069495    
   15200.00      -1.092313       3.034429    
   15300.00      -1.037598       3.000410    
   15400.00     -0.9866109       2.967402    
   15500.00     -0.9389649       2.935369    
   15600.00     -0.8943266       2.904278    
   15700.00     -0.8524066       2.874095    
   15800.00     -0.8129507       2.844790    
   15900.00     -0.7757369       2.816334    
   16000.00     -0.7405672       2.788697    
   16100.00     -0.7072669       2.761853    
   16200.00     -0.6756793       2.735776    
   16300.00     -0.6456646       2.710441    
   16400.00     -0.6170953       2.685823    
   16500.00     -0.5898576       2.661901    
   16600.00     -0.5638481       2.638652    
   16700.00     -0.5389722       2.616055    
   16800.00     -0.5151443       2.594090    
   16900.00     -0.4922849       2.572739    
   17000.00     -0.4703220       2.551981    
   17100.00     -0.4491888       2.531801    
   17200.00     -0.4288239       2.512179    
   17300.00     -0.4091706       2.493101    
   17400.00     -0.3901742       2.474550    
   17500.00     -0.3717567       2.456511    
   17600.00     -0.2579902       2.434337    
