  Element 17: Cl      Atomic mass:   35.4530

  Edge          keV         A
    K         2.8224    4.3929

Scattering factors as a function of energy: 

   13900.00      0.2067235      0.2496714    
   14000.00      0.2047440      0.2462146    
   14100.00      0.2027881      0.2428274    
   14200.00      0.2008556      0.2395080    
   14300.00      0.1989462      0.2362545    
   14400.00      0.1970595      0.2330654    
   14500.00      0.1951953      0.2299387    
   14600.00      0.1933533      0.2268731    
   14700.00      0.1915333      0.2238669    
   14800.00      0.1897348      0.2209185    
   14900.00      0.1879577      0.2180266    
   15000.00      0.1862016      0.2151897    
   15100.00      0.1844664      0.2124064    
   15200.00      0.1827516      0.2096753    
   15300.00      0.1810570      0.2069953    
   15400.00      0.1793824      0.2043650    
   15500.00      0.1777275      0.2017832    
   15600.00      0.1760920      0.1992487    
   15700.00      0.1744756      0.1967604    
   15800.00      0.1728781      0.1943173    
   15900.00      0.1712992      0.1919181    
   16000.00      0.1697387      0.1895619    
   16100.00      0.1681963      0.1872476    
   16200.00      0.1666718      0.1849744    
   16300.00      0.1651648      0.1827412    
   16400.00      0.1636753      0.1805470    
   16500.00      0.1622028      0.1783910    
   16600.00      0.1607472      0.1762723    
   16700.00      0.1593083      0.1741901    
   16800.00      0.1578858      0.1721436    
   16900.00      0.1564795      0.1701319    
   17000.00      0.1550891      0.1681542    
   17100.00      0.1537145      0.1662098    
   17200.00      0.1523554      0.1642980    
   17300.00      0.1510116      0.1624181    
   17400.00      0.1496828      0.1605692    
   17500.00      0.1483690      0.1587509    
   17600.00      0.1470698      0.1569623    
   17700.00      0.1457850      0.1552029    
   17800.00      0.1445145      0.1534721    
   17900.00      0.1432581      0.1517691    
   18000.00      0.1420155      0.1500936    
   18100.00      0.1407866      0.1484447    
   18200.00      0.1395712      0.1468221    
   18300.00      0.1383691      0.1452251    
   18400.00      0.1371801      0.1436532    
   18500.00      0.1360040      0.1421060    
   18600.00      0.1348407      0.1405828    
   18700.00      0.1336899      0.1390832    
   18800.00      0.1325515      0.1376068    
   18900.00      0.1314254      0.1361530    
   19000.00      0.1303113      0.1347213    
   19100.00      0.1292091      0.1333115    
   19200.00      0.1281186      0.1319229    
   19300.00      0.1270397      0.1305553    
   19400.00      0.1259722      0.1292081    
   19500.00      0.1249160      0.1278809    
   19600.00      0.1238708      0.1265735    
   19700.00      0.1228366      0.1252854    
   19800.00      0.1218132      0.1240162    
   19900.00      0.1208005      0.1227655    
   20000.00      0.1197983      0.1215331    
   20100.00      0.1188064      0.1203185    
   20200.00      0.1178248      0.1191214    
   20300.00      0.1168533      0.1179415    
   20400.00      0.1158917      0.1167785    
   20500.00      0.1149400      0.1156320    
   20600.00      0.1139979      0.1145017    
   20700.00      0.1130654      0.1133874    
   20800.00      0.1121424      0.1122887    
   20900.00      0.1112287      0.1112054    
   21000.00      0.1103241      0.1101371    
   21100.00      0.1094286      0.1090836    
