  Element 41: Nb      Atomic mass:   92.9064

  Edge          keV         A
    K        18.9856    0.6530
    L-I       2.6977    4.5959
    L-II      2.4647    5.0304
    L-III     2.3705    5.2303

Scattering factors as a function of energy: 

   6200.000      0.1394856       3.890612    
   6300.000      0.1327679       3.786627    
   6400.000      0.1249288       3.686786    
   6500.000      0.1160897       3.590868    
   6600.000      0.1063587       3.498669    
   6700.000      9.5832564E-02   3.409996    
   6800.000      8.4592752E-02   3.324670    
   6900.000      6.8076961E-02   3.242609    
   7000.000      5.5688467E-02   3.163583    
   7100.000      4.2809084E-02   3.087427    
   7200.000      2.6709763E-02   3.014057    
   7300.000      1.3015782E-02   2.943290    
   7400.000     -1.0236603E-03   2.874999    
   7500.000     -1.5368850E-02   2.809069    
   7600.000     -2.9984334E-02   2.745391    
   7700.000     -4.4838537E-02   2.683863    
   7800.000     -5.9903480E-02   2.624388    
   7900.000     -7.5154200E-02   2.566875    
   8000.000     -9.0568922E-02   2.511237    
   8100.000     -0.1061286       2.457393    
   8200.000     -0.1218167       2.405267    
   8300.000     -0.1376193       2.354785    
   8400.000     -0.1535246       2.305879    
   8500.000     -0.1695236       2.258482    
   8600.000     -0.1856093       2.212532    
   8700.000     -0.2017770       2.167971    
   8800.000     -0.2187714       2.124744    
   8900.000     -0.2350826       2.082809    
   9000.000     -0.2509414       2.042504    
   9100.000     -0.2667901       2.003375    
   9200.000     -0.2826240       1.965377    
   9300.000     -0.2984398       1.928465    
   9400.000     -0.3142342       1.892598    
   9500.000     -0.3300054       1.857737    
   9600.000     -0.3457516       1.823843    
   9700.000     -0.3614714       1.790881    
   9800.000     -0.3771646       1.758816    
   9900.000     -0.3928308       1.727616    
   10000.00     -0.4084705       1.697250    
   10100.00     -0.4240843       1.667687    
   10200.00     -0.4396736       1.638899    
   10300.00     -0.4557796       1.610863    
   10400.00     -0.4713510       1.583562    
   10500.00     -0.4868983       1.556959    
   10600.00     -0.5024257       1.531031    
   10700.00     -0.5184383       1.505756    
   10800.00     -0.5339481       1.481122    
   10900.00     -0.5494495       1.457098    
   11000.00     -0.5649429       1.433662    
   11100.00     -0.5804316       1.410796    
   11200.00     -0.5959192       1.388480    
   11300.00     -0.6114102       1.366697    
   11400.00     -0.6269085       1.345430    
   11500.00     -0.6424189       1.324663    
   11600.00     -0.6579459       1.304379    
   11700.00     -0.6745755       1.284567    
   11800.00     -0.6901728       1.265234    
   11900.00     -0.7058037       1.246343    
   12000.00     -0.7214715       1.227879    
   12100.00     -0.7371818       1.209829    
   12200.00     -0.7529408       1.192181    
   12300.00     -0.7687549       1.174923    
   12400.00     -0.7846305       1.158043    
   12500.00     -0.8005750       1.141531    
   12600.00     -0.8165951       1.125375    
   12700.00     -0.8326984       1.109565    
   12800.00     -0.8488929       1.094091    
   12900.00     -0.8651865       1.078944    
   13000.00     -0.8815880       1.064114    
   13100.00     -0.8981062       1.049593    
   13200.00     -0.9147500       1.035372    
   13300.00     -0.9315298       1.021441    
   13400.00     -0.9484552       1.007795    
   13500.00     -0.9655373      0.9944242    
   13600.00     -0.9827872      0.9813215    
   13700.00      -1.000216      0.9684801    
   13800.00      -1.017838      0.9558924    
   13900.00      -1.035664      0.9435523    
   14000.00      -1.053710      0.9314528    
   14100.00      -1.071988      0.9195877    
   14200.00      -1.090516      0.9079510    
   14300.00      -1.109309      0.8965368    
   14400.00      -1.128384      0.8853393    
   14500.00      -1.147761      0.8743531    
   14600.00      -1.167458      0.8635726    
   14700.00      -1.187497      0.8529930    
   14800.00      -1.207901      0.8426089    
   14900.00      -1.228692      0.8324157    
   15000.00      -1.249898      0.8224086    
   15100.00      -1.271545      0.8125830    
   15200.00      -1.293664      0.8029346    
   15300.00      -1.316287      0.7934589    
   15400.00      -1.339445      0.7841520    
   15500.00      -1.363614      0.7750114    
   15600.00      -1.387969      0.7660315    
   15700.00      -1.412986      0.7572086    
   15800.00      -1.438715      0.7485390    
   15900.00      -1.465209      0.7400190    
   16000.00      -1.492527      0.7316452    
   16100.00      -1.520736      0.7234142    
   16200.00      -1.549906      0.7153228    
   16300.00      -1.580119      0.7073679    
   16400.00      -1.611464      0.6995462    
   16500.00      -1.644041      0.6918547    
   16600.00      -1.677964      0.6842906    
   16700.00      -1.713360      0.6768512    
   16800.00      -1.750374      0.6695336    
   16900.00      -1.789173      0.6623350    
   17000.00      -1.829948      0.6552530    
   17100.00      -1.872919      0.6482849    
   17200.00      -1.918345      0.6414284    
   17300.00      -1.966530      0.6346811    
   17400.00      -2.017834      0.6280405    
   17500.00      -2.072691      0.6215044    
   17600.00      -2.131624      0.6150707    
   17700.00      -2.195280      0.6087372    
   17800.00      -2.264462      0.6025017    
   17900.00      -2.340195      0.5963624    
   18000.00      -2.423804      0.5903170    
   18100.00      -2.517047      0.5843637    
   18200.00      -2.622328      0.5785006    
   18300.00      -2.743050      0.5727261    
