  Element 70: Yb      Atomic mass:  173.0400

  Edge          keV         A
    K        61.3323    0.2022
    L-I      10.4864    1.1823
    L-II      9.9782    1.2426
    L-III     8.9436    1.3863
    M1        2.3981    5.1701
    M2        2.1730    5.7057
    M3        1.9498    6.3588
    M4        1.5763    7.8655
    M5        1.5278    8.1152

Scattering factors as a function of energy: 

   2261.000      -13.30989       27.55349    
   2266.000      -13.22820       27.46031    
   2271.000      -13.15009       27.36810    
   2300.000      -12.76034       26.85171    
   2301.000      -12.74870       26.83444    
   2306.000      -12.69229       26.74869    
   2311.000      -12.63882       26.66382    
   2316.000      -12.58832       26.57982    
   2321.000      -12.54087       26.49669    
   2326.000      -12.49658       26.41443    
   2331.000      -12.45559       26.33301    
   2336.000      -12.41812       26.25244    
   2341.000      -12.38446       26.17270    
   2346.000      -12.35498       26.09380    
   2351.000      -12.33022       26.01571    
   2356.000      -12.31090       25.93844    
   2361.000      -12.29803       25.86197    
   2366.000      -12.29311       25.78631    
   2371.000      -12.29841       25.71143    
   2376.000      -12.31765       25.63735    
   2381.000      -12.35746       25.56404    
   2386.000      -12.43154       25.49152    
   2391.000      -12.57642       25.41975    
   2396.000      -12.97819       25.34876    
   2400.000      -12.97360       26.47032    
   2401.000      -12.80424       26.45583    
   2406.000      -12.37578       26.38384    
   2411.000      -12.14078       26.31262    
   2416.000      -11.96805       26.24219    
   2421.000      -11.82687       26.17252    
   2426.000      -11.70499       26.10362    
   2431.000      -11.59629       26.03549    
   2436.000      -11.49724       25.96811    
   2441.000      -11.40561       25.90148    
   2446.000      -11.31991       25.83559    
   2451.000      -11.23909       25.77044    
   2456.000      -11.16238       25.70603    
   2461.000      -11.08920       25.64236    
   2466.000      -11.01908       25.57941    
   2471.000      -10.95166       25.51718    
   2476.000      -10.88665       25.45567    
   2481.000      -10.82382       25.39488    
   2486.000      -10.76295       25.33480    
   2491.000      -10.70388       25.27542    
   2496.000      -10.64646       25.21675    
   2500.000      -10.60163       25.17032    
   2600.000      -8.908936       23.95115    
   2700.000      -8.126597       22.80322    
   2800.000      -7.508603       21.79995    
   2900.000      -6.674140       20.82287    
   3000.000      -6.084374       19.89712    
   3100.000      -5.658178       19.00333    
   3200.000      -5.305588       18.17027    
   3300.000      -5.008462       17.39283    
   3400.000      -4.759472       16.66585    
   3500.000      -4.558593       15.98501    
   3600.000      -4.385887       15.34658    
   3700.000      -4.242752       14.74680    
   3800.000      -4.133838       14.18280    
   3900.000      -4.046237       13.65157    
   4000.000      -3.971037       13.15157    
   4100.000      -3.912507       12.67949    
   4200.000      -3.868622       12.23322    
   4300.000      -3.837667       11.81085    
   4400.000      -3.826964       11.41126    
   4500.000      -3.818035       11.03282    
   4600.000      -3.818125       10.67359    
   4700.000      -3.826314       10.33227    
   4800.000      -3.844575       10.00764    
   4900.000      -3.866818       9.698915    
   5000.000      -3.895088       9.404779    
   5100.000      -3.928890       9.124299    
   5200.000      -3.967803       8.856618    
   5300.000      -4.011473       8.600945    
   5400.000      -4.059603       8.356554    
   5500.000      -4.111949       8.122770    
   5600.000      -4.168315       7.898973    
   5700.000      -4.228548       7.684583    
   5800.000      -4.292534       7.479066    
   5900.000      -4.360198       7.281927    
   6000.000      -4.431504       7.092702    
   6100.000      -4.506447       6.910964    
   6200.000      -4.585062       6.736309    
   6300.000      -4.667416       6.568366    
   6400.000      -4.753614       6.406785    
   6500.000      -4.849160       6.251304    
   6600.000      -4.943541       6.101616    
   6700.000      -5.050456       5.957665    
   6800.000      -5.153805       5.818951    
   6900.000      -5.270514       5.685399    
   7000.000      -5.384210       5.556618    
   7100.000      -5.503816       5.432273    
   7200.000      -5.629916       5.312157    
   7300.000      -5.763210       5.196073    
   7400.000      -5.904541       5.083839    
   7500.000      -6.059848       4.975331    
   7600.000      -6.220531       4.870384    
   7700.000      -6.393044       4.768794    
   7800.000      -6.579316       4.670414    
   7900.000      -6.781802       4.575109    
   8000.000      -7.003699       4.482747    
   8100.000      -7.249279       4.393205    
   8200.000      -7.524422       4.306366    
   8300.000      -7.837574       4.222120    
   8400.000      -8.201468       4.140363    
   8500.000      -8.648408       4.061205    
   8600.000      -9.191763       3.984541    
   8700.000      -9.918997       3.910075    
   8800.000      -11.03243       3.837722    
   8846.000      -11.84666       3.805126    
   8851.000      -11.95772       3.801609    
   8856.000      -12.07500       3.798096    
   8861.000      -12.19924       3.794588    
   8866.000      -12.33131       3.791086    
   8871.000      -12.47227       3.787588    
   8876.000      -12.62339       3.784095    
   8881.000      -12.78622       3.780608    
   8886.000      -12.96278       3.777125    
   8891.000      -13.15556       3.773647    
   8896.000      -13.36780       3.770174    
   8900.000      -13.55447       3.767400    
   8901.000      -13.60383       3.766714    
   8906.000      -13.86951       3.763292    
   8911.000      -14.17356       3.759875    
   8916.000      -14.52883       3.756462    
   8921.000      -14.95588       3.753055    
   8926.000      -15.49117       3.749652    
   8931.000      -16.20796       3.746254    
   8936.000      -17.29461       3.742861    
   8941.000      -19.60631       3.739473    
   8946.000      -19.79470       10.54685    
   8951.000      -17.34071       10.53347    
   8956.000      -16.21192       10.52012    
   8961.000      -15.46945       10.50680    
   8966.000      -14.91504       10.49353    
   8971.000      -14.47218       10.48029    
   8976.000      -14.10344       10.46708    
   8981.000      -13.78755       10.45391    
   8986.000      -13.51128       10.44078    
   8991.000      -13.26582       10.42769    
   8996.000      -13.04503       10.41463    
   9000.000      -12.88313       10.40420    
   9001.000      -12.84444       10.40160    
   9006.000      -12.66075       10.38861    
   9011.000      -12.49130       10.37566    
   9016.000      -12.33412       10.36274    
   9021.000      -12.18759       10.34986    
   9026.000      -12.05038       10.33701    
   9031.000      -11.92143       10.32419    
   9036.000      -11.79982       10.31141    
   9041.000      -11.68480       10.29867    
   9100.000      -10.66369       10.15085    
   9200.000      -9.649223       9.910737    
   9300.000      -9.040344       9.682963    
   9400.000      -8.654026       9.466722    
   9500.000      -8.423759       9.261280    
   9600.000      -8.325207       9.065946    
   9700.000      -8.366345       8.880088    
   9800.000      -8.603777       8.703122    
   9881.000      -9.088088       8.565934    
   9886.000      -9.135278       8.557639    
   9891.000      -9.185719       8.549364    
   9896.000      -9.239785       8.541108    
   9900.000      -9.285941       8.534519    
   9901.000      -9.297923       8.532873    
   9906.000      -9.360667       8.524657    
   9911.000      -9.428670       8.516460    
   9916.000      -9.502733       8.508284    
   9921.000      -9.583845       8.500128    
   9926.000      -9.673319       8.491989    
   9931.000      -9.772811       8.483871    
   9936.000      -9.884555       8.475771    
   9941.000      -10.01163       8.467691    
   9946.000      -10.15847       8.459630    
   9951.000      -10.33175       8.451589    
   9956.000      -10.54224       8.443565    
   9961.000      -10.80909       8.435562    
   9966.000      -11.17142       8.427579    
   9971.000      -11.73284       8.419613    
   9976.000      -13.00694       8.411666    
   9981.000      -12.74675       11.81612    
   9986.000      -11.62159       11.80401    
   9991.000      -11.07269       11.79194    
   9996.000      -10.70443       11.77989    
   10000.00      -10.47661       11.77028    
   10001.00      -10.42601       11.76788    
   10006.00      -10.20163       11.75590    
   10011.00      -10.01332       11.74394    
   10016.00      -9.850899       11.73202    
   10021.00      -9.707970       11.72012    
   10026.00      -9.580262       11.70826    
   10031.00      -9.464783       11.69642    
   10036.00      -9.359350       11.68462    
   10041.00      -9.262328       11.67284    
   10046.00      -9.172472       11.66110    
