  Element 15: P       Atomic mass:   30.9738

  Edge          keV         A
    K         2.1455    5.7788

Scattering factors as a function of energy: 

   13700.00      0.1504641      0.1546534    
   13800.00      0.1488421      0.1524348    
   13900.00      0.1472433      0.1502623    
   14000.00      0.1456672      0.1481346    
   14100.00      0.1441134      0.1460505    
   14200.00      0.1425816      0.1440088    
   14300.00      0.1410712      0.1420084    
   14400.00      0.1395819      0.1400483    
   14500.00      0.1381135      0.1381272    
   14600.00      0.1366654      0.1362443    
   14700.00      0.1352373      0.1343985    
   14800.00      0.1338289      0.1325888    
   14900.00      0.1324398      0.1308143    
   15000.00      0.1310697      0.1290742    
   15100.00      0.1297182      0.1273676    
   15200.00      0.1283851      0.1256935    
   15300.00      0.1270700      0.1240512    
   15400.00      0.1257725      0.1224400    
   15500.00      0.1244925      0.1208589    
   15600.00      0.1232295      0.1193074    
   15700.00      0.1219833      0.1177846    
   15800.00      0.1207535      0.1162898    
   15900.00      0.1195400      0.1148225    
   16000.00      0.1183424      0.1133819    
   16100.00      0.1171605      0.1119673    
   16200.00      0.1159939      0.1105783    
   16300.00      0.1148425      0.1092141    
   16400.00      0.1137060      0.1078742    
   16500.00      0.1125841      0.1065580    
   16600.00      0.1114765      0.1052649    
   16700.00      0.1103831      0.1039945    
   16800.00      0.1093035      0.1027462    
   16900.00      0.1082377      0.1015195    
   17000.00      0.1071852      0.1003139    
   17100.00      0.1061460      9.9128954E-02
   17200.00      0.1051198      9.7964182E-02
   17300.00      0.1041063      9.6819147E-02
   17400.00      0.1031054      9.5693380E-02
   17500.00      0.1021169      9.4586469E-02
   17600.00      0.1011406      9.3498006E-02
   17700.00      0.1001762      9.2427589E-02
   17800.00      9.9223554E-02  9.1374837E-02
   17900.00      9.8282501E-02  9.0339340E-02
   18000.00      9.7352847E-02  8.9320734E-02
   18100.00      9.6434399E-02  8.8318668E-02
   18200.00      9.5526986E-02  8.7332785E-02
   18300.00      9.4630443E-02  8.6362757E-02
   18400.00      9.3744569E-02  8.5408226E-02
   18500.00      9.2869200E-02  8.4468879E-02
   18600.00      9.2004187E-02  8.3544388E-02
   18700.00      9.1149360E-02  8.2634464E-02
   18800.00      9.0304568E-02  8.1738815E-02
   18900.00      8.9469634E-02  8.0857106E-02
   19000.00      8.8644408E-02  7.9989083E-02
   19100.00      8.7828755E-02  7.9134457E-02
