ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"04.12.2007"
Time :	"16:50:33"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      45.00100
Duration [s]    :	        60
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     380.14279
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	  7.23710E-001
  2.50000E-004	  8.42750E-001
  3.75000E-004	  8.44426E-001
  5.00000E-004	  8.44719E-001
  6.25000E-004	  8.46989E-001
  7.50000E-004	  8.46892E-001
  8.75000E-004	  8.43704E-001
  1.00000E-003	  8.46159E-001
  1.12500E-003	  8.46692E-001
  1.25000E-003	  8.44370E-001
  1.37500E-003	  8.45902E-001
  1.50000E-003	  8.45741E-001
  1.62500E-003	  8.45574E-001
  1.75000E-003	  8.46855E-001
  1.87500E-003	  8.46116E-001
  2.00000E-003	  8.44699E-001
  2.25000E-003	  8.44109E-001
  2.50000E-003	  8.44763E-001
  2.75000E-003	  8.42917E-001
  3.00000E-003	  8.45563E-001
  3.25000E-003	  8.44033E-001
  3.50000E-003	  8.44428E-001
  3.75000E-003	  8.43761E-001
  4.00000E-003	  8.44533E-001
  4.50000E-003	  8.43623E-001
  5.00000E-003	  8.43203E-001
  5.50000E-003	  8.43506E-001
  6.00000E-003	  8.43757E-001
  6.50000E-003	  8.43209E-001
  7.00000E-003	  8.43410E-001
  7.50000E-003	  8.42806E-001
  8.00000E-003	  8.42012E-001
  9.00000E-003	  8.41236E-001
  1.00000E-002	  8.41401E-001
  1.10000E-002	  8.40037E-001
  1.20000E-002	  8.39346E-001
  1.30000E-002	  8.39015E-001
  1.40000E-002	  8.38297E-001
  1.50000E-002	  8.37921E-001
  1.60000E-002	  8.37659E-001
  1.80000E-002	  8.35762E-001
  2.00000E-002	  8.34971E-001
  2.20000E-002	  8.33951E-001
  2.40000E-002	  8.32506E-001
  2.60000E-002	  8.31431E-001
  2.80000E-002	  8.30610E-001
  3.00000E-002	  8.28930E-001
  3.20000E-002	  8.27830E-001
  3.60000E-002	  8.25378E-001
  4.00000E-002	  8.23369E-001
  4.40000E-002	  8.20600E-001
  4.80000E-002	  8.18392E-001
  5.20000E-002	  8.15877E-001
  5.60000E-002	  8.13592E-001
  6.00000E-002	  8.11428E-001
  6.40000E-002	  8.08778E-001
  7.20000E-002	  8.04371E-001
  8.00000E-002	  7.99697E-001
  8.80000E-002	  7.94993E-001
  9.60000E-002	  7.90448E-001
  1.04000E-001	  7.86165E-001
  1.12000E-001	  7.81381E-001
  1.20000E-001	  7.77118E-001
  1.28000E-001	  7.72412E-001
  1.44000E-001	  7.63365E-001
  1.60000E-001	  7.55038E-001
  1.76000E-001	  7.46140E-001
  1.92000E-001	  7.37533E-001
  2.08000E-001	  7.28978E-001
  2.24000E-001	  7.20818E-001
  2.40000E-001	  7.12721E-001
  2.56000E-001	  7.04777E-001
  2.88000E-001	  6.88936E-001
  3.20000E-001	  6.73393E-001
  3.52000E-001	  6.58273E-001
  3.84000E-001	  6.43703E-001
  4.16000E-001	  6.29244E-001
  4.48000E-001	  6.15111E-001
  4.80000E-001	  6.01506E-001
  5.12000E-001	  5.88447E-001
  5.76000E-001	  5.62673E-001
  6.40000E-001	  5.38066E-001
  7.04000E-001	  5.14685E-001
  7.68000E-001	  4.92337E-001
  8.32000E-001	  4.70837E-001
  8.96000E-001	  4.50660E-001
  9.60000E-001	  4.31130E-001
  1.02400E+000	  4.12775E-001
  1.15200E+000	  3.78473E-001
  1.28000E+000	  3.47391E-001
  1.40800E+000	  3.19164E-001
  1.53600E+000	  2.93494E-001
  1.66400E+000	  2.70350E-001
  1.79200E+000	  2.49017E-001
  1.92000E+000	  2.29385E-001
  2.01600E+000	  2.16446E-001
  2.27200E+000	  1.84641E-001
  2.52800E+000	  1.57767E-001
  2.78400E+000	  1.35282E-001
  3.04000E+000	  1.17246E-001
  3.29600E+000	  1.01909E-001
  3.55200E+000	  8.83967E-002
  3.80800E+000	  7.66728E-002
  4.06400E+000	  6.69010E-002
  4.57600E+000	  5.19989E-002
  5.08800E+000	  4.09437E-002
  5.60000E+000	  3.05489E-002
  6.11200E+000	  2.23242E-002
  6.62400E+000	  1.65040E-002
  7.13600E+000	  1.21864E-002
  7.64800E+000	  8.13322E-003
  8.16000E+000	  5.26296E-003
  9.18400E+000	  3.58038E-003
  1.02080E+001	  2.82345E-003
  1.12320E+001	  9.25778E-004
  1.22560E+001	  2.31010E-003
  1.32800E+001	  3.75777E-003
  1.43040E+001	  2.72536E-003
  1.53280E+001	  2.78192E-003
  1.63520E+001	  2.64634E-003
  1.84000E+001	  2.80775E-003
  2.04480E+001	  2.34966E-003
  2.24960E+001	  1.86177E-003
  2.45440E+001	 -1.12281E-003
  2.65920E+001	 -6.17355E-003
  2.86400E+001	 -7.88719E-003
  3.06880E+001	 -4.74943E-003
  3.27360E+001	 -2.24009E-003
  3.68320E+001	  7.90286E-004
  4.09280E+001	  1.22115E-003
  4.50240E+001	 -1.65503E-003
  4.91200E+001	  5.91312E-003
  5.32160E+001	  1.85611E-003
  5.73120E+001	  3.17775E-003
  6.14080E+001	  4.84966E-003
  6.55040E+001	  2.95783E-003
  7.36960E+001	 -7.73691E-004
  8.18880E+001	 -1.41708E-003
  9.00800E+001	  3.29755E-003
  9.82720E+001	  1.01675E-003
  1.06464E+002	  1.08153E-003
  1.14656E+002	 -2.01813E-003
  1.22848E+002	 -4.20642E-004
  1.31040E+002	 -1.19687E-003
  1.47424E+002	  6.15681E-004
  1.63808E+002	  1.17768E-003
  1.80192E+002	  3.55989E-003
  1.96576E+002	 -3.30925E-003
  2.12960E+002	 -3.04354E-003
  2.29344E+002	 -4.11500E-003
  2.45728E+002	  6.27242E-006
  2.62112E+002	  2.22286E-003
  2.94880E+002	  1.05103E-003
  3.27648E+002	  5.54819E-004
  3.60416E+002	  6.79043E-004
  3.93184E+002	  2.32493E-003
  4.25952E+002	 -1.53170E-003
  4.58720E+002	  1.57092E-004
  4.91488E+002	  2.62298E-003
  5.24256E+002	  7.70799E-004
  5.89792E+002	 -8.34965E-004
  6.55328E+002	  5.92187E-004
  7.20864E+002	  1.05665E-003
  7.86400E+002	 -9.48669E-004
  8.51936E+002	 -2.39855E-004
  9.17472E+002	  9.85465E-004
  9.83008E+002	  2.65106E-003
  1.04854E+003	 -4.11309E-004
  1.17962E+003	 -1.15534E-003
  1.31069E+003	  5.77674E-004
  1.44176E+003	 -1.21998E-003
  1.57283E+003	  1.16911E-003
  1.70390E+003	 -2.09188E-004
  1.83498E+003	 -4.44227E-004
  1.96605E+003	 -2.37253E-004
  2.09712E+003	  1.15966E-003
  2.35926E+003	 -4.38098E-004
  2.62141E+003	 -6.13249E-004
  2.88355E+003	 -3.08203E-004
  3.14570E+003	 -2.58173E-004
  3.40784E+003	  3.15022E-004
  3.66998E+003	  7.21463E-004
  3.93213E+003	  2.65515E-004
  4.19427E+003	 -2.55992E-005
  4.71856E+003	  4.98711E-004
  5.24285E+003	  1.76234E-005
  5.76714E+003	  2.66309E-004
  6.29142E+003	 -1.55577E-004
  6.81571E+003	 -2.71284E-004
  7.34000E+003	  6.54207E-005
  7.86429E+003	 -8.45794E-004
  8.38858E+003	 -2.34963E-004
  9.43715E+003	  2.96697E-004
  1.04857E+004	 -1.04262E-003
  1.15343E+004	  1.19247E-003
  1.25829E+004	 -6.63179E-005
  1.36315E+004	 -2.33167E-004
  1.46800E+004	 -8.44498E-004
  1.57286E+004	 -5.88216E-004

"Count Rate"
       0.23438	     377.85605
       0.46875	     440.07858
       0.70313	     362.11578
       0.93750	     421.26025
       1.17188	     372.80569
       1.40625	     420.76077
       1.64063	     341.85452
       1.87500	     381.09207
       2.10938	     353.28296
       2.34375	     325.45255
       2.57813	     432.33865
       2.81250	     378.10794
       3.04688	     400.61905
       3.28125	     392.84497
       3.51563	     472.89108
       3.75000	     287.73480
       3.98438	     416.46603
       4.21875	     345.16309
       4.45313	     357.40695
       4.68750	     405.11871
       4.92188	     375.96912
       5.15625	     341.09036
       5.39063	     322.48978
       5.62500	     365.46707
       5.85938	     309.71228
       6.09375	     323.07465
       6.32813	     433.79016
       6.56250	     386.83405
       6.79688	     457.32156
       7.03125	     352.54013
       7.26563	     422.42999
       7.50000	     440.77017
       7.73438	     383.34189
       7.96875	     332.12518
       8.20313	     342.80228
       8.43750	     466.83746
       8.67188	     390.46280
       8.90625	     333.78162
       9.14063	     415.57379
       9.37500	     390.90250
       9.60938	     418.60913
       9.84375	     352.29254
      10.07813	     359.15302
      10.31250	     367.82788
      10.54688	     341.73926
      10.78125	     373.83881
      11.01563	     380.84445
      11.25000	     358.79013
      11.48438	     380.99814
      11.71875	     382.68018
      11.95313	     374.44931
      12.18750	     453.48361
      12.42188	     369.35623
      12.65625	     417.13202
      12.89063	     359.33661
      13.12500	     404.17523
      13.35938	     377.13458
      13.59375	     334.38354
      13.82813	     365.00598
      14.06250	     391.02631
      14.29688	     412.94827
      14.53125	     376.35760
      14.76563	     343.39993
      15.00000	     401.33197
      15.23438	     402.30109
      15.46875	     362.93118
      15.70313	     349.78229
      15.93750	     429.17096
      16.17188	     414.82669
      16.40625	     395.22287
      16.64063	     362.43170
      16.87500	     413.46484
      17.10938	     364.35281
      17.34375	     388.83197
      17.57813	     357.37708
      17.81250	     331.35675
      18.04688	     397.28058
      18.28125	     504.69180
      18.51563	     423.74918
      18.75000	     374.41089
      18.98438	     380.30655
      19.21875	     425.05551
      19.45313	     333.40591
      19.68750	     326.43872
      19.92188	     524.91040
      20.15625	     360.79236
      20.39063	     432.09531
      20.62500	     423.97116
      20.85938	     430.44742
      21.09375	     394.53552
      21.32813	     436.77426
      21.56250	     319.84717
      21.79688	     395.03503
      22.03125	     422.70749
      22.26563	     315.64209
      22.50000	     361.92368
      22.73438	     378.15918
      22.96875	     410.36118
      23.20313	     399.55176
      23.43750	     360.91190
      23.67188	     381.01096
      23.90625	     408.84137
      24.14063	     434.23413
      24.37500	     369.81729
      24.60938	     441.42761
      24.84375	     313.28552
      25.07813	     433.96518
      25.31250	     347.20801
      25.54688	     440.83847
      25.78125	     377.47610
      26.01563	     361.58643
      26.25000	     365.01025
      26.48438	     420.09479
      26.71875	     372.54953
      26.95313	     370.78638
      27.18750	     365.34753
      27.42188	     365.26642
      27.65625	     401.13986
      27.89063	     362.63663
      28.12500	     381.79221
      28.35938	     380.92130
      28.59375	     390.62503
      28.82813	     293.10538
      29.06250	     327.10043
      29.29688	     399.07361
      29.53125	     400.67453
      29.76563	     404.55945
      30.00000	     418.94641
      30.23438	     439.18207
      30.46875	     408.90115
      30.70313	     423.18991
      30.93750	     384.72510
      31.17188	     378.71841
      31.40625	     375.59769
      31.64063	     401.36615
      31.87500	     384.28964
      32.10938	     355.10590
      32.34375	     359.92572
      32.57813	     319.46722
      32.81250	     351.60519
      33.04688	     392.49063
      33.28125	     303.77820
      33.51563	     377.02359
      33.75000	     313.28979
      33.98438	     396.04681
      34.21875	     382.42828
      34.45313	     310.31421
      34.68750	     348.26248
      34.92188	     322.52393
      35.15625	     369.55261
      35.39063	     293.50241
      35.62500	     388.04648
      35.85938	     357.44965
      36.09375	     422.38730
      36.32813	     363.81064
      36.56250	     347.14398
      36.79688	     357.80399
      37.03125	     366.79477
      37.26563	     295.85471
      37.50000	     342.36682
      37.73438	     402.37366
      37.96875	     364.45526
      38.20313	     416.47885
      38.43750	     370.09479
      38.67188	     365.99216
      38.90625	     354.19229
      39.14063	     352.79202
      39.37500	     449.87195
      39.60938	     392.30707
      39.84375	     526.66925
      40.07813	     357.52222
      40.31250	     395.48755
      40.54688	     365.01025
      40.78125	     283.77734
      41.01563	     368.30176
      41.25000	     340.67624
      41.48438	     444.77460
      41.71875	     341.99115
      41.95313	     365.98788
      42.18750	     418.19077
      42.42188	     411.95358
      42.65625	     413.93445
      42.89063	     358.00037
      43.12500	     352.48892
      43.35938	     411.11255
      43.59375	     424.86768
      43.82813	     455.53708
      44.06250	     385.70697
      44.29688	     370.81201
      44.53125	     398.01913
      44.76563	     357.21057
      45.00000	     410.89056
      45.23438	     350.55927
      45.46875	     344.21109
      45.70313	     358.32480
      45.93750	     360.56183
      46.17188	     344.56543
      46.40625	     355.80603
      46.64063	     341.26965
      46.87500	     344.71912
      47.10938	     468.17368
      47.34375	     345.96997
      47.57813	     337.12860
      47.81250	     357.86374
      48.04688	     443.58780
      48.28125	     337.88852
      48.51563	     369.75754
      48.75000	     420.18445
      48.98438	     394.04886
      49.21875	     384.18716
      49.45313	     338.94299
      49.68750	     335.41241
      49.92188	     293.31882
      50.15625	     405.64380
      50.39063	     465.16821
      50.62500	     376.52835
      50.85938	     413.35385
      51.09375	     356.99710
      51.32813	     334.52872
      51.56250	     367.37537
      51.79688	     349.90610
      52.03125	     346.13644
      52.26563	     364.21622
      52.50000	     419.77032
      52.73438	     376.69058
      52.96875	     370.66684
      53.20313	     362.55978
      53.43750	     425.95630
      53.67188	     328.89346
      53.90625	     355.96826
      54.14063	     344.34341
      54.37500	     367.72116
      54.60938	     354.35025
      54.84375	     421.31149
      55.07813	     393.43411
      55.31250	     354.32465
      55.54688	     426.30637
      55.78125	     386.36017
      56.01563	     486.79135
      56.25000	     413.06354
      56.48438	     345.16736
      56.71875	     393.31885
      56.95313	     365.95801
      57.18750	     411.38577
      57.42188	     371.36700
      57.65625	     363.45630
      57.89063	     365.32190
      58.12500	     391.37637
      58.35938	     403.76965
      58.59375	     313.87466
      58.82813	     360.57465
      59.06250	     439.50650
      59.29688	     419.50565
      59.53125	     406.15182
      59.76563	     441.60693

Monitor Diode	 594558.12

"Cumulant 1.Order"
FluctuationFreq. [1/ms]	 3.3710E-001
DiffCoefficient [µm²/s]	 3.2898E+000
Hydrodyn. Radius [nm]	 7.4553E+001

"Cumulant 2.Order"
FluctuationFreq. [1/ms]	 3.6328E-001
DiffCoefficient [µm²/s]	 3.5453E+000
Hydrodyn. Radius [nm]	 6.9181E+001
Expansion Parameter µ2	 2.5007E-002

"Cumulant 3.Order"
FluctuationFreq. [1/ms]	 3.6024E-001
DiffCoefficient [µm²/s]	 3.5156E+000
Hydrodyn. Radius [nm]	 6.9764E+001
Expansion Parameter µ2	 1.7606E-002
Expansion Parameter µ3	-5.4689E-003

"StandardDeviation"
  1.25000E-004	  8.16085E-003
  2.50000E-004	  8.16138E-003
  3.75000E-004	  8.16195E-003
  5.00000E-004	  8.16250E-003
  6.25000E-004	  8.16306E-003
  7.50000E-004	  8.16362E-003
  8.75000E-004	  8.16417E-003
  1.00000E-003	  8.16471E-003
  1.12500E-003	  8.16345E-003
  1.25000E-003	  8.16296E-003
  1.37500E-003	  8.16275E-003
  1.50000E-003	  8.16246E-003
  1.62500E-003	  8.16212E-003
  1.75000E-003	  8.16191E-003
  1.87500E-003	  8.16153E-003
  2.00000E-003	  8.10888E-003
  2.25000E-003	  8.10900E-003
  2.50000E-003	  8.10904E-003
  2.75000E-003	  8.10896E-003
  3.00000E-003	  8.10907E-003
  3.25000E-003	  8.10899E-003
  3.50000E-003	  8.10901E-003
  3.75000E-003	  8.10897E-003
  4.00000E-003	  8.08252E-003
  4.50000E-003	  8.08202E-003
  5.00000E-003	  8.08199E-003
  5.50000E-003	  8.08197E-003
  6.00000E-003	  8.08195E-003
  6.50000E-003	  8.08192E-003
  7.00000E-003	  8.08189E-003
  7.50000E-003	  8.08186E-003
  8.00000E-003	  8.06872E-003
  9.00000E-003	  8.06772E-003
  1.00000E-002	  8.06766E-003
  1.10000E-002	  8.06759E-003
  1.20000E-002	  8.06751E-003
  1.30000E-002	  8.06743E-003
  1.40000E-002	  8.06735E-003
  1.50000E-002	  8.06726E-003
  1.60000E-002	  8.05962E-003
  1.80000E-002	  8.05753E-003
  2.00000E-002	  8.05735E-003
  2.20000E-002	  8.05716E-003
  2.40000E-002	  8.05696E-003
  2.60000E-002	  8.05674E-003
  2.80000E-002	  8.05647E-003
  3.00000E-002	  8.05625E-003
  3.20000E-002	  8.05146E-003
  3.60000E-002	  8.04750E-003
  4.00000E-002	  8.04698E-003
  4.40000E-002	  8.04652E-003
  4.80000E-002	  8.04591E-003
  5.20000E-002	  8.04528E-003
  5.60000E-002	  8.04459E-003
  6.00000E-002	  8.04387E-003
  6.40000E-002	  8.03949E-003
  7.20000E-002	  8.03169E-003
  8.00000E-002	  8.03055E-003
  8.80000E-002	  8.02918E-003
  9.60000E-002	  8.02761E-003
  1.04000E-001	  8.02603E-003
  1.12000E-001	  8.02442E-003
  1.20000E-001	  8.02241E-003
  1.28000E-001	  8.01754E-003
  1.44000E-001	  8.00200E-003
  1.60000E-001	  7.99821E-003
  1.76000E-001	  7.99455E-003
  1.92000E-001	  7.99005E-003
  2.08000E-001	  7.98596E-003
  2.24000E-001	  7.98091E-003
  2.40000E-001	  7.97547E-003
  2.56000E-001	  7.96284E-003
  2.88000E-001	  7.92914E-003
  3.20000E-001	  7.91692E-003
  3.52000E-001	  7.90347E-003
  3.84000E-001	  7.89002E-003
  4.16000E-001	  7.87472E-003
  4.48000E-001	  7.85977E-003
  4.80000E-001	  7.84256E-003
  5.12000E-001	  7.81416E-003
  5.76000E-001	  7.74507E-003
  6.40000E-001	  7.70691E-003
  7.04000E-001	  7.66628E-003
  7.68000E-001	  7.62158E-003
  8.32000E-001	  7.57654E-003
  8.96000E-001	  7.52793E-003
  9.60000E-001	  7.47921E-003
  1.02400E+000	  7.45253E-003
  1.15200E+000	  7.30914E-003
  1.28000E+000	  7.20013E-003
  1.40800E+000	  7.08934E-003
  1.53600E+000	  6.98088E-003
  1.66400E+000	  6.86958E-003
  1.79200E+000	  6.75893E-003
  1.92000E+000	  6.64586E-003
  2.01600E+000	  6.53280E-003
  2.27200E+000	  6.31340E-003
  2.52800E+000	  6.11691E-003
  2.78400E+000	  5.92959E-003
  3.04000E+000	  5.75568E-003
  3.29600E+000	  5.59028E-003
  3.55200E+000	  5.43977E-003
  3.80800E+000	  5.30174E-003
  4.06400E+000	  5.15999E-003
  4.57600E+000	  4.95269E-003
  5.08800E+000	  4.79884E-003
  5.60000E+000	  4.66527E-003
  6.11200E+000	  4.56026E-003
  6.62400E+000	  4.48136E-003
  7.13600E+000	  4.41528E-003
  7.64800E+000	  4.35254E-003
  8.16000E+000	  4.14714E-003
  9.18400E+000	  4.10565E-003
  1.02080E+001	  4.08386E-003
  1.12320E+001	  4.05127E-003
  1.22560E+001	  3.98401E-003
  1.32800E+001	  3.98401E-003
  1.43040E+001	  3.98401E-003
  1.53280E+001	  3.98401E-003
  1.63520E+001	  3.87675E-003
  1.84000E+001	  3.87675E-003
  2.04480E+001	  3.87675E-003
  2.24960E+001	  3.87675E-003
  2.45440E+001	  3.87675E-003
  2.65920E+001	  3.87675E-003
  2.86400E+001	  3.87675E-003
  3.06880E+001	  3.87675E-003
  3.27360E+001	  3.51232E-003
  3.68320E+001	  3.51232E-003
  4.09280E+001	  3.51232E-003
  4.50240E+001	  3.51232E-003
  4.91200E+001	  3.51232E-003
  5.32160E+001	  3.51232E-003
  5.73120E+001	  3.51232E-003
  6.14080E+001	  3.51232E-003
  6.55040E+001	  2.98980E-003
  7.36960E+001	  2.98980E-003
  8.18880E+001	  2.98980E-003
  9.00800E+001	  2.98980E-003
  9.82720E+001	  2.98980E-003
  1.06464E+002	  2.98980E-003
  1.14656E+002	  2.98980E-003
  1.22848E+002	  2.98980E-003
  1.31040E+002	  2.36352E-003
  1.47424E+002	  2.36352E-003
  1.63808E+002	  2.36352E-003
  1.80192E+002	  2.36352E-003
  1.96576E+002	  2.36352E-003
  2.12960E+002	  2.36352E-003
  2.29344E+002	  2.36352E-003
  2.45728E+002	  2.36352E-003
  2.62112E+002	  1.78515E-003
  2.94880E+002	  1.78515E-003
  3.27648E+002	  1.78515E-003
  3.60416E+002	  1.78515E-003
  3.93184E+002	  1.78515E-003
  4.25952E+002	  1.78515E-003
  4.58720E+002	  1.78515E-003
  4.91488E+002	  1.78515E-003
  5.24256E+002	  1.30424E-003
  5.89792E+002	  1.30424E-003
  6.55328E+002	  1.30424E-003
  7.20864E+002	  1.30424E-003
  7.86400E+002	  1.30424E-003
  8.51936E+002	  1.30424E-003
  9.17472E+002	  1.30424E-003
  9.83008E+002	  1.30424E-003
  1.04854E+003	  9.37199E-004
  1.17962E+003	  9.37199E-004
  1.31069E+003	  9.37199E-004
  1.44176E+003	  9.37199E-004
  1.57283E+003	  9.37199E-004
  1.70390E+003	  9.37199E-004
  1.83498E+003	  9.37199E-004
  1.96605E+003	  9.37199E-004
  2.09712E+003	  6.67990E-004
  2.35926E+003	  6.67990E-004
  2.62141E+003	  6.67990E-004
  2.88355E+003	  6.67990E-004
  3.14570E+003	  6.67990E-004
  3.40784E+003	  6.67990E-004
  3.66998E+003	  6.67990E-004
  3.93213E+003	  6.67990E-004
  4.19427E+003	  4.74210E-004
  4.71856E+003	  4.74210E-004
  5.24285E+003	  4.74210E-004
  5.76714E+003	  4.74210E-004
  6.29142E+003	  4.74210E-004
  6.81571E+003	  4.74210E-004
  7.34000E+003	  4.74210E-004
  7.86429E+003	  4.74210E-004
  8.38858E+003	  3.35979E-004
  9.43715E+003	  3.35979E-004
  1.04857E+004	  3.35979E-004
  1.15343E+004	  3.35979E-004
  1.25829E+004	  3.35979E-004
  1.36315E+004	  3.35979E-004
  1.46800E+004	  3.35979E-004
  1.57286E+004	  3.35979E-004
