ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"04.12.2007"
Time :	"16:45:37"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      55.00100
Duration [s]    :	        60
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     314.49716
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	  7.40353E-001
  2.50000E-004	  8.62829E-001
  3.75000E-004	  8.64448E-001
  5.00000E-004	  8.63777E-001
  6.25000E-004	  8.63923E-001
  7.50000E-004	  8.62034E-001
  8.75000E-004	  8.63559E-001
  1.00000E-003	  8.62551E-001
  1.12500E-003	  8.62725E-001
  1.25000E-003	  8.60355E-001
  1.37500E-003	  8.62296E-001
  1.50000E-003	  8.63811E-001
  1.62500E-003	  8.63321E-001
  1.75000E-003	  8.61561E-001
  1.87500E-003	  8.61830E-001
  2.00000E-003	  8.61149E-001
  2.25000E-003	  8.62442E-001
  2.50000E-003	  8.62258E-001
  2.75000E-003	  8.61517E-001
  3.00000E-003	  8.60751E-001
  3.25000E-003	  8.61693E-001
  3.50000E-003	  8.63429E-001
  3.75000E-003	  8.59605E-001
  4.00000E-003	  8.60782E-001
  4.50000E-003	  8.60870E-001
  5.00000E-003	  8.60241E-001
  5.50000E-003	  8.59899E-001
  6.00000E-003	  8.58720E-001
  6.50000E-003	  8.60081E-001
  7.00000E-003	  8.59043E-001
  7.50000E-003	  8.56671E-001
  8.00000E-003	  8.57308E-001
  9.00000E-003	  8.55738E-001
  1.00000E-002	  8.55269E-001
  1.10000E-002	  8.52763E-001
  1.20000E-002	  8.53984E-001
  1.30000E-002	  8.52617E-001
  1.40000E-002	  8.52448E-001
  1.50000E-002	  8.50815E-001
  1.60000E-002	  8.50270E-001
  1.80000E-002	  8.48131E-001
  2.00000E-002	  8.46545E-001
  2.20000E-002	  8.44885E-001
  2.40000E-002	  8.42897E-001
  2.60000E-002	  8.42002E-001
  2.80000E-002	  8.39025E-001
  3.00000E-002	  8.37824E-001
  3.20000E-002	  8.36334E-001
  3.60000E-002	  8.32580E-001
  4.00000E-002	  8.29063E-001
  4.40000E-002	  8.26060E-001
  4.80000E-002	  8.22238E-001
  5.20000E-002	  8.18245E-001
  5.60000E-002	  8.15543E-001
  6.00000E-002	  8.12034E-001
  6.40000E-002	  8.07997E-001
  7.20000E-002	  8.01581E-001
  8.00000E-002	  7.94909E-001
  8.80000E-002	  7.88378E-001
  9.60000E-002	  7.81483E-001
  1.04000E-001	  7.74868E-001
  1.12000E-001	  7.68580E-001
  1.20000E-001	  7.61973E-001
  1.28000E-001	  7.55620E-001
  1.44000E-001	  7.43076E-001
  1.60000E-001	  7.30632E-001
  1.76000E-001	  7.18092E-001
  1.92000E-001	  7.06433E-001
  2.08000E-001	  6.94632E-001
  2.24000E-001	  6.82866E-001
  2.40000E-001	  6.71336E-001
  2.56000E-001	  6.60120E-001
  2.88000E-001	  6.38278E-001
  3.20000E-001	  6.16842E-001
  3.52000E-001	  5.96362E-001
  3.84000E-001	  5.76574E-001
  4.16000E-001	  5.57395E-001
  4.48000E-001	  5.38460E-001
  4.80000E-001	  5.20681E-001
  5.12000E-001	  5.03286E-001
  5.76000E-001	  4.70390E-001
  6.40000E-001	  4.39731E-001
  7.04000E-001	  4.11218E-001
  7.68000E-001	  3.84521E-001
  8.32000E-001	  3.59875E-001
  8.96000E-001	  3.36718E-001
  9.60000E-001	  3.14892E-001
  1.02400E+000	  2.94921E-001
  1.15200E+000	  2.58242E-001
  1.28000E+000	  2.26143E-001
  1.40800E+000	  1.98391E-001
  1.53600E+000	  1.73904E-001
  1.66400E+000	  1.52353E-001
  1.79200E+000	  1.33491E-001
  1.92000E+000	  1.16962E-001
  2.01600E+000	  1.06158E-001
  2.27200E+000	  8.14318E-002
  2.52800E+000	  6.36453E-002
  2.78400E+000	  4.99762E-002
  3.04000E+000	  3.94967E-002
  3.29600E+000	  3.12886E-002
  3.55200E+000	  2.49631E-002
  3.80800E+000	  2.02158E-002
  4.06400E+000	  1.62889E-002
  4.57600E+000	  9.84999E-003
  5.08800E+000	  6.74261E-003
  5.60000E+000	  3.26673E-003
  6.11200E+000	  1.57157E-003
  6.62400E+000	  1.35329E-003
  7.13600E+000	  1.11463E-003
  7.64800E+000	  1.37293E-003
  8.16000E+000	  2.04635E-003
  9.18400E+000	  2.84574E-003
  1.02080E+001	 -7.14216E-004
  1.12320E+001	 -5.31987E-003
  1.22560E+001	 -6.78697E-003
  1.32800E+001	 -8.31643E-003
  1.43040E+001	 -8.23334E-003
  1.53280E+001	 -7.12189E-003
  1.63520E+001	 -3.78965E-003
  1.84000E+001	  3.09706E-003
  2.04480E+001	  4.18230E-003
  2.24960E+001	  1.86488E-003
  2.45440E+001	 -4.35090E-003
  2.65920E+001	 -3.11551E-003
  2.86400E+001	 -2.88953E-003
  3.06880E+001	 -1.18985E-004
  3.27360E+001	 -1.01946E-003
  3.68320E+001	 -1.23397E-004
  4.09280E+001	 -2.68437E-003
  4.50240E+001	  1.01235E-003
  4.91200E+001	  3.15759E-003
  5.32160E+001	 -1.51298E-004
  5.73120E+001	  1.86146E-003
  6.14080E+001	 -2.73537E-003
  6.55040E+001	 -2.08538E-003
  7.36960E+001	  2.40056E-003
  8.18880E+001	  1.63012E-003
  9.00800E+001	 -1.66091E-004
  9.82720E+001	  2.67731E-003
  1.06464E+002	 -2.61110E-004
  1.14656E+002	 -2.27507E-003
  1.22848E+002	  8.69034E-004
  1.31040E+002	  3.43297E-003
  1.47424E+002	  4.24148E-004
  1.63808E+002	 -1.25723E-003
  1.80192E+002	  1.81897E-003
  1.96576E+002	 -1.70437E-003
  2.12960E+002	 -4.80690E-004
  2.29344E+002	 -1.70784E-004
  2.45728E+002	 -1.21550E-003
  2.62112E+002	 -2.40775E-003
  2.94880E+002	  6.76464E-004
  3.27648E+002	 -4.95385E-004
  3.60416E+002	  4.47198E-004
  3.93184E+002	 -2.87939E-003
  4.25952E+002	  1.57107E-004
  4.58720E+002	  4.94454E-004
  4.91488E+002	 -1.47265E-004
  5.24256E+002	  2.12143E-004
  5.89792E+002	 -3.49801E-004
  6.55328E+002	 -4.95941E-004
  7.20864E+002	  2.90350E-004
  7.86400E+002	 -9.17298E-004
  8.51936E+002	 -1.48211E-003
  9.17472E+002	  1.04720E-003
  9.83008E+002	 -5.12349E-004
  1.04854E+003	 -2.72788E-005
  1.17962E+003	  4.94570E-004
  1.31069E+003	  2.76434E-004
  1.44176E+003	  4.29078E-004
  1.57283E+003	  2.22269E-004
  1.70390E+003	 -4.76873E-004
  1.83498E+003	 -3.02313E-004
  1.96605E+003	  3.01948E-004
  2.09712E+003	 -2.15315E-004
  2.35926E+003	  1.14918E-004
  2.62141E+003	  3.89820E-004
  2.88355E+003	  1.46377E-004
  3.14570E+003	 -1.43716E-004
  3.40784E+003	 -3.91108E-004
  3.66998E+003	  2.90769E-004
  3.93213E+003	  9.56735E-005
  4.19427E+003	  3.69577E-004
  4.71856E+003	  1.59824E-004
  5.24285E+003	 -7.74729E-005
  5.76714E+003	 -3.24210E-004
  6.29142E+003	  6.26201E-004
  6.81571E+003	  3.54572E-004
  7.34000E+003	 -7.11731E-004
  7.86429E+003	  2.10306E-005
  8.38858E+003	  8.39296E-005
  9.43715E+003	  3.61391E-004
  1.04857E+004	 -3.98071E-004
  1.15343E+004	 -1.79792E-004
  1.25829E+004	 -4.89142E-005
  1.36315E+004	 -2.23531E-004
  1.46800E+004	 -1.74088E-005
  1.57286E+004	  4.32312E-004

"Count Rate"
       0.23438	     421.90491
       0.46875	     302.51453
       0.70313	     333.82004
       0.93750	     301.52835
       1.17188	     312.62808
       1.40625	     354.93939
       1.64063	     375.16650
       1.87500	     328.41959
       2.10938	     346.99881
       2.34375	     278.55618
       2.57813	     280.94263
       2.81250	     333.57669
       3.04688	     369.31781
       3.28125	     296.03827
       3.51563	     365.90677
       3.75000	     285.76248
       3.98438	     327.04492
       4.21875	     328.41959
       4.45313	     321.07242
       4.68750	     352.33524
       4.92188	     300.58487
       5.15625	     291.23978
       5.39063	     314.51932
       5.62500	     305.73773
       5.85938	     351.81439
       6.09375	     324.12912
       6.32813	     294.81302
       6.56250	     300.78552
       6.79688	     326.26794
       7.03125	     350.94348
       7.26563	     320.33386
       7.50000	     293.74576
       7.73438	     377.74078
       7.96875	     350.48242
       8.20313	     343.25052
       8.43750	     346.55057
       8.67188	     283.30347
       8.90625	     339.76266
       9.14063	     366.96552
       9.37500	     313.37518
       9.60938	     315.91104
       9.84375	     348.37347
      10.07813	     276.48993
      10.31250	     295.09479
      10.54688	     306.82208
      10.78125	     359.60129
      11.01563	     290.52682
      11.25000	     286.99625
      11.48438	     314.86084
      11.71875	     326.56250
      11.95313	     287.56833
      12.18750	     286.71451
      12.42188	     337.09018
      12.65625	     332.15506
      12.89063	     356.16891
      13.12500	     280.43887
      13.35938	     307.74420
      13.59375	     345.91019
      13.82813	     328.07379
      14.06250	     344.95392
      14.29688	     301.72473
      14.53125	     274.41086
      14.76563	     325.30313
      15.00000	     296.05960
      15.23438	     318.03708
      15.46875	     306.39517
      15.70313	     290.65918
      15.93750	     278.43240
      16.17188	     301.98944
      16.40625	     310.85641
      16.64063	     273.16000
      16.87500	     355.98532
      17.10938	     309.29816
      17.34375	     316.22696
      17.57813	     301.28503
      17.81250	     372.45990
      18.04688	     290.51828
      18.28125	     326.18256
      18.51563	     302.04919
      18.75000	     295.96570
      18.98438	     331.09631
      19.21875	     287.17557
      19.45313	     279.58932
      19.68750	     348.73636
      19.92188	     288.73807
      20.15625	     304.38440
      20.39063	     336.71024
      20.62500	     270.76077
      20.85938	     277.80057
      21.09375	     299.24438
      21.32813	     274.05655
      21.56250	     327.90729
      21.79688	     318.33591
      22.03125	     334.55005
      22.26563	     328.63730
      22.50000	     271.27734
      22.73438	     311.77853
      22.96875	     311.38150
      23.20313	     314.15643
      23.43750	     330.22971
      23.67188	     291.43616
      23.90625	     314.68579
      24.14063	     338.78928
      24.37500	     321.41394
      24.60938	     288.61426
      24.84375	     273.73636
      25.07813	     312.13287
      25.31250	     321.54202
      25.54688	     289.22046
      25.78125	     323.71927
      26.01563	     321.29868
      26.25000	     285.08795
      26.48438	     328.24030
      26.71875	     319.06165
      26.95313	     322.92947
      27.18750	     333.10281
      27.42188	     283.14551
      27.65625	     324.50906
      27.89063	     318.20782
      28.12500	     317.56320
      28.35938	     331.27136
      28.59375	     302.45901
      28.82813	     316.42761
      29.06250	     285.03671
      29.29688	     326.45578
      29.53125	     314.38269
      29.76563	     323.65524
      30.00000	     324.27853
      30.23438	     322.31046
      30.46875	     363.88321
      30.70313	     296.59326
      30.93750	     305.29800
      31.17188	     310.04953
      31.40625	     273.44604
      31.64063	     281.80499
      31.87500	     343.58353
      32.10938	     356.29269
      32.34375	     314.56201
      32.57813	     326.08011
      32.81250	     339.09668
      33.04688	     302.79630
      33.28125	     315.94092
      33.51563	     312.13287
      33.75000	     271.36273
      33.98438	     290.15540
      34.21875	     303.01401
      34.45313	     327.39072
      34.68750	     300.44827
      34.92188	     359.65250
      35.15625	     291.24405
      35.39063	     333.71329
      35.62500	     248.59120
      35.85938	     297.05859
      36.09375	     310.16052
      36.32813	     362.31644
      36.56250	     288.63559
      36.79688	     310.60452
      37.03125	     321.59326
      37.26563	     352.87741
      37.50000	     302.67249
      37.73438	     272.53671
      37.96875	     317.14908
      38.20313	     284.23840
      38.43750	     350.49097
      38.67188	     326.46005
      38.90625	     327.59991
      39.14063	     295.21005
      39.37500	     309.49026
      39.60938	     305.20834
      39.84375	     322.24643
      40.07813	     307.31729
      40.31250	     329.22217
      40.54688	     288.50754
      40.78125	     277.06201
      41.01563	     278.59888
      41.25000	     403.15063
      41.48438	     316.53433
      41.71875	     319.33487
      41.95313	     327.43768
      42.18750	     276.83148
      42.42188	     299.91037
      42.65625	     303.03964
      42.89063	     292.98157
      43.12500	     296.47372
      43.35938	     285.28433
      43.59375	     294.65933
      43.82813	     309.36221
      44.06250	     322.19946
      44.29688	     311.17230
      44.53125	     301.54971
      44.76563	     334.37500
      45.00000	     316.14157
      45.23438	     347.07138
      45.46875	     351.09717
      45.70313	     369.71484
      45.93750	     265.53110
      46.17188	     349.03091
      46.40625	     266.19708
      46.64063	     330.63953
      46.87500	     310.81372
      47.10938	     284.69946
      47.34375	     303.11649
      47.57813	     323.07037
      47.81250	     352.59991
      48.04688	     338.11478
      48.28125	     328.54340
      48.51563	     276.03741
      48.75000	     334.10178
      48.98438	     287.79459
      49.21875	     314.80533
      49.45313	     304.70032
      49.68750	     333.60229
      49.92188	     288.08914
      50.15625	     281.13046
      50.39063	     309.23840
      50.62500	     303.39398
      50.85938	     349.46210
      51.09375	     325.65747
      51.32813	     301.78452
      51.56250	     293.69879
      51.79688	     333.78589
      52.03125	     305.32788
      52.26563	     340.56525
      52.50000	     362.05603
      52.73438	     307.22339
      52.96875	     270.92728
      53.20313	     303.08658
      53.43750	     322.28485
      53.67188	     268.71158
      53.90625	     319.86853
      54.14063	     301.54117
      54.37500	     321.11084
      54.60938	     308.62793
      54.84375	     293.15234
      55.07813	     288.16171
      55.31250	     285.03247
      55.54688	     340.50549
      55.78125	     333.67914
      56.01563	     269.44162
      56.25000	     277.26691
      56.48438	     309.58420
      56.71875	     307.03552
      56.95313	     325.57635
      57.18750	     335.66855
      57.42188	     272.58795
      57.65625	     305.72064
      57.89063	     299.11630
      58.12500	     358.64926
      58.35938	     287.89703
      58.59375	     335.54050
      58.82813	     324.47919
      59.06250	     347.67761
      59.29688	     337.52563
      59.53125	     316.98260
      59.76563	     296.22610

Monitor Diode	 595761.06

"Cumulant 1.Order"
FluctuationFreq. [1/ms]	 5.2402E-001
DiffCoefficient [µm²/s]	 3.5126E+000
Hydrodyn. Radius [nm]	 6.9825E+001

"Cumulant 2.Order"
FluctuationFreq. [1/ms]	 5.3018E-001
DiffCoefficient [µm²/s]	 3.5539E+000
Hydrodyn. Radius [nm]	 6.9013E+001
Expansion Parameter µ2	 9.7974E-003

"Cumulant 3.Order"
FluctuationFreq. [1/ms]	 5.2811E-001
DiffCoefficient [µm²/s]	 3.5400E+000
Hydrodyn. Radius [nm]	 6.9284E+001
Expansion Parameter µ2	 1.1680E-003
Expansion Parameter µ3	-1.0976E-002

"StandardDeviation"
  1.25000E-004	  6.85491E-003
  2.50000E-004	  6.85558E-003
  3.75000E-004	  6.85631E-003
  5.00000E-004	  6.85702E-003
  6.25000E-004	  6.85772E-003
  7.50000E-004	  6.85839E-003
  8.75000E-004	  6.85910E-003
  1.00000E-003	  6.85979E-003
  1.12500E-003	  6.85827E-003
  1.25000E-003	  6.85768E-003
  1.37500E-003	  6.85745E-003
  1.50000E-003	  6.85708E-003
  1.62500E-003	  6.85667E-003
  1.75000E-003	  6.85615E-003
  1.87500E-003	  6.85574E-003
  2.00000E-003	  6.76332E-003
  2.25000E-003	  6.76359E-003
  2.50000E-003	  6.76358E-003
  2.75000E-003	  6.76355E-003
  3.00000E-003	  6.76351E-003
  3.25000E-003	  6.76358E-003
  3.50000E-003	  6.76363E-003
  3.75000E-003	  6.76347E-003
  4.00000E-003	  6.71679E-003
  4.50000E-003	  6.71614E-003
  5.00000E-003	  6.71615E-003
  5.50000E-003	  6.71611E-003
  6.00000E-003	  6.71615E-003
  6.50000E-003	  6.71609E-003
  7.00000E-003	  6.71609E-003
  7.50000E-003	  6.71607E-003
  8.00000E-003	  6.69282E-003
  9.00000E-003	  6.69169E-003
  1.00000E-002	  6.69163E-003
  1.10000E-002	  6.69165E-003
  1.20000E-002	  6.69150E-003
  1.30000E-002	  6.69146E-003
  1.40000E-002	  6.69133E-003
  1.50000E-002	  6.69131E-003
  1.60000E-002	  6.67823E-003
  1.80000E-002	  6.67559E-003
  2.00000E-002	  6.67543E-003
  2.20000E-002	  6.67530E-003
  2.40000E-002	  6.67506E-003
  2.60000E-002	  6.67480E-003
  2.80000E-002	  6.67467E-003
  3.00000E-002	  6.67430E-003
  3.20000E-002	  6.66665E-003
  3.60000E-002	  6.66159E-003
  4.00000E-002	  6.66116E-003
  4.40000E-002	  6.66052E-003
  4.80000E-002	  6.65984E-003
  5.20000E-002	  6.65906E-003
  5.60000E-002	  6.65812E-003
  6.00000E-002	  6.65720E-003
  6.40000E-002	  6.65100E-003
  7.20000E-002	  6.64118E-003
  8.00000E-002	  6.63947E-003
  8.80000E-002	  6.63733E-003
  9.60000E-002	  6.63513E-003
  1.04000E-001	  6.63276E-003
  1.12000E-001	  6.63005E-003
  1.20000E-001	  6.62713E-003
  1.28000E-001	  6.62034E-003
  1.44000E-001	  6.59983E-003
  1.60000E-001	  6.59311E-003
  1.76000E-001	  6.58609E-003
  1.92000E-001	  6.57759E-003
  2.08000E-001	  6.56965E-003
  2.24000E-001	  6.56037E-003
  2.40000E-001	  6.55070E-003
  2.56000E-001	  6.52997E-003
  2.88000E-001	  6.48803E-003
  3.20000E-001	  6.46468E-003
  3.52000E-001	  6.43938E-003
  3.84000E-001	  6.41412E-003
  4.16000E-001	  6.38521E-003
  4.48000E-001	  6.35708E-003
  4.80000E-001	  6.32564E-003
  5.12000E-001	  6.28670E-003
  5.76000E-001	  6.18446E-003
  6.40000E-001	  6.11782E-003
  7.04000E-001	  6.04770E-003
  7.68000E-001	  5.97494E-003
  8.32000E-001	  5.89929E-003
  8.96000E-001	  5.82031E-003
  9.60000E-001	  5.74257E-003
  1.02400E+000	  5.68179E-003
  1.15200E+000	  5.49958E-003
  1.28000E+000	  5.34386E-003
  1.40800E+000	  5.19707E-003
  1.53600E+000	  5.05660E-003
  1.66400E+000	  4.92710E-003
  1.79200E+000	  4.80097E-003
  1.92000E+000	  4.68271E-003
  2.01600E+000	  4.57754E-003
  2.27200E+000	  4.36656E-003
  2.52800E+000	  4.19619E-003
